"","CRUISE","PERMIT","OBSERVER_SEQ","MANAGEMENT_PROGRAM_CODE","DAYS"
"1",22279,372,10744,"OA",8
"2",22284,723,9839,"OA",5
"3",22284,33470,9839,"OA",13
"4",22293,4450,12130,"OA",19
"5",22298,32693,11850,"OA",8
"6",22307,4306,11974,"OA",21
"7",22309,3672,10480,"OA",16
"8",22316,434,12119,"AFA",5
"9",22316,434,12119,"OA",22
"10",22316,4540,12119,"OA",19
"11",22324,4578,8072,"OA",16
"12",22327,34017,7894,"A80",68
"13",22327,34017,7894,"EXP",14
"14",22328,3414,10900,"AFA",50
"15",22328,3414,10900,"CDQ",42
"16",22329,425,9899,"AFA",73
"17",22329,1868,9899,"AFA",4
"18",22330,516,12041,"AFA",77
"19",22331,410,10521,"OA",3
"20",22331,1109,10521,"OA",6
"21",22331,1191,10521,"OA",4
"22",22331,2849,10521,"OA",4
"23",22331,3826,10521,"OA",6
"24",22331,14467,10521,"IFQ",11
"25",22331,32761,10521,"OA",3
"26",22331,33932,10521,"OA",4
"27",22332,2718,11725,"OA",73
"28",22333,5358,83,"AFA PLANT",90
"29",22334,33989,9181,"OA",56
"30",22336,5323,11629,"AFA PLANT",84
"31",22337,1607,12049,"AFA",80
"32",22338,5822,12196,"EXP",47
"33",22339,372,12100,"OA",25
"34",22339,3672,12100,"OA",50
"35",22340,993,9759,"OA",3
"36",22340,1561,9759,"IFQ",8
"37",22340,1623,9759,"AFA",2
"38",22340,1623,9759,"OA",4
"39",22340,4131,9759,"OA",3
"40",22340,4141,9759,"OA",6
"41",22340,4226,9759,"OA",9
"42",22340,5000,9759,"OA",5
"43",22340,5391,9759,"OA",8
"44",22340,5478,9759,"OA",4
"45",22341,3671,7488,"AFA",67
"46",22341,3671,7488,"CDQ",16
"47",22342,249,12325,"AFA",52
"48",22342,249,12325,"OA",34
"49",22343,5310,1076,"AFA PLANT",86
"50",22344,278,12326,"OA",21
"51",22344,533,12326,"AFA",67
"52",22345,2134,12266,"A80",77
"53",22345,2134,12266,"CDQ",5
"54",22345,2134,12266,"OA",6
"55",22346,1623,11399,"OA",3
"56",22346,4131,11399,"OA",3
"57",22346,4144,11399,"OA",2
"58",22346,4833,11399,"OA",6
"59",22346,31074,11399,"CDQ",5
"60",22347,5310,382,"AFA PLANT",86
"61",22348,2833,6090,"OA",66
"62",22349,5320,11963,"AFA PLANT",23
"63",22349,34249,11963,"CDQ",33
"64",22349,34249,11963,"EXP",19
"65",22350,4463,11813,"OA",58
"66",22352,1641,12339,"AFA",53
"67",22352,1641,12339,"OA",27
"68",22353,4635,12188,"EXP",70
"69",22355,3388,1766,"AFA",67
"70",22356,367,11585,"OA",12
"71",22356,3242,11585,"OA",75
"72",22357,2059,11242,"AFA",20
"73",22357,2059,11242,"OA",6
"74",22357,33470,11242,"OA",59
"75",22358,1228,9801,"AFA",49
"76",22359,411,12195,"AFA",47
"77",22359,411,12195,"OA",28
"78",22360,34249,12287,"CDQ",35
"79",22360,34249,12287,"EXP",30
"80",22361,993,12337,"OA",3
"81",22361,1043,12337,"OA",11
"82",22361,1868,12337,"OA",9
"83",22361,1868,12337,"SMO",2
"84",22361,1889,12337,"OA",2
"85",22361,4212,12337,"OA",2
"86",22361,4657,12337,"OA",2
"87",22361,7079,12337,"OA",7
"88",22362,2811,6753,"AFA",10
"89",22362,3336,6753,"CDQ",49
"90",22362,3336,6753,"OA",16
"91",22362,5305,6753,"AFA PLANT",4
"92",22363,1137,12361,"OA",5
"93",22363,5892,12361,"OA",3
"94",22364,3694,3842,"EXP",66
"95",22366,417,11833,"AFA",51
"96",22366,417,11833,"OA",31
"97",22367,4377,7625,"OA",43
"98",22368,1879,6475,"EXP",34
"99",22368,2811,6475,"AFA",47
"100",22369,3681,12050,"AFA",68
"101",22369,3681,12050,"CDQ",20
"102",22370,523,7405,"AFA",10
"103",22370,523,7405,"OA",4
"104",22370,3002,7405,"AFA",42
"105",22370,3002,7405,"OA",33
"106",22371,1846,11687,"OA",2
"107",22371,3387,11687,"OA",13
"108",22371,3474,11687,"OA",3
"109",22371,4614,11687,"OA",11
"110",22372,512,12290,"AFA",6
"111",22372,7161,12290,"CDQ",20
"112",22373,1222,12265,"AFA",37
"113",22373,1222,12265,"OA",15
"114",22373,3406,12265,"CDQ",1
"115",22373,3406,12265,"OA",20
"116",22374,3367,12160,"EXP",31
"117",22374,4569,12160,"CDQ",10
"118",22374,4569,12160,"OA",20
"119",22375,3800,12269,"AFA",33
"120",22375,3800,12269,"OA",21
"121",22375,4102,12269,"OA",21
"122",22376,3414,12226,"AFA",20
"123",22376,3414,12226,"CDQ",10
"124",22376,4540,12226,"OA",23
"125",22377,3414,7179,"AFA",15
"126",22377,3414,7179,"CDQ",6
"127",22377,3673,7179,"OA",59
"128",22378,428,9821,"OA",7
"129",22378,480,9821,"AIP",7
"130",22378,1482,9821,"OA",8
"131",22378,3412,9821,"OA",4
"132",22378,5000,9821,"OA",8
"133",22378,5137,9821,"OA",12
"134",22379,1996,12371,"CDQ",15
"135",22379,1996,12371,"EXP",72
"136",22380,495,12367,"OA",6
"137",22380,4305,12367,"OA",4
