"","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","TOTAL_DAYS","TOTAL_CRUISES","TOTAL_OBSERVERS","DISTINCT_OBSERVER_ASSIGNMENTS","TOTAL_STATEMENTS","TOTAL_INCIDENTS","FACTOR_GROUP","ALL_OTHER_STATEMENT_TYPES_1000_DEPLOYED_DAYS","COAST_GUARD_1000_DEPLOYED_DAYS","LIMITED_ACCESS_PROGRAMS_1000_DEPLOYED_DAYS","OLE_PRIORITY_INTER_PERSONAL_1000_DEPLOYED_DAYS","OLE_PRIORITY_SAFETY_AND_DUTIES_1000_DEPLOYED_DAYS","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_1000_DEPLOYED_DAYS","ALL_OTHER_STATEMENT_TYPES_90_DEPLOYED_DAYS","COAST_GUARD_90_DEPLOYED_DAYS","LIMITED_ACCESS_PROGRAMS_90_DEPLOYED_DAYS","OLE_PRIORITY_INTER_PERSONAL_90_DEPLOYED_DAYS","OLE_PRIORITY_SAFETY_AND_DUTIES_90_DEPLOYED_DAYS","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_90_DEPLOYED_DAYS","ALL_OTHER_STATEMENT_TYPES_CRUISE","COAST_GUARD_CRUISE","LIMITED_ACCESS_PROGRAMS_CRUISE","OLE_PRIORITY_INTER_PERSONAL_CRUISE","OLE_PRIORITY_SAFETY_AND_DUTIES_CRUISE","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_CRUISE","ALL_OTHER_STATEMENT_TYPES_ASSIGNMENT","COAST_GUARD_ASSIGNMENT","LIMITED_ACCESS_PROGRAMS_ASSIGNMENT","OLE_PRIORITY_INTER_PERSONAL_ASSIGNMENT","OLE_PRIORITY_SAFETY_AND_DUTIES_ASSIGNMENT","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_ASSIGNMENT"
"1","FULL","CP/MS","HAL","CDQ","BSAI",517,30,27,30,9.8082854007715,29.5151502954328,"FULLCP/MSHALCDQBSAI",36.1412054268639,8.29274113251516,10.514307859051,1.06580349741444,0.204801456365912,0.870406189555126,3.25270848841775,0.746346701926364,0.946287707314594,0.0959223147672996,0.0184321310729321,0.0783365570599613,0.622833440189621,0.142911572183678,0.181196572104313,0.0183673469387755,0.00352941176470588,0.015,0.622833440189621,0.142911572183678,0.181196572104313,0.0183673469387755,0.00352941176470588,0.015
"2","FULL","CP/MS","HAL","IFQ","GOA",172,4,4,4,5.22140034771614,7.27204046151415,"FULLCP/MSHALIFQGOA",22.8780494080372,11.9985040119679,NA,3.55297157622739,NA,3.84978001257071,2.05902444672334,1.07986536107711,NA,0.319767441860465,NA,0.346480201131364,0.983756124545598,0.51593567251462,NA,0.152777777777778,NA,0.165540540540541,0.983756124545598,0.51593567251462,NA,0.152777777777778,NA,0.165540540540541
"3","FULL","CP/MS","HAL","OA","BSAI",4301,99,76,103,89.3093720928958,696.346738879308,"FULLCP/MSHALOABSAI",128.663095163015,11.3422087376625,4.54873351240888,2.28734445029659,2.30042261033686,12.7616456260958,11.5796785646714,1.02079878638962,0.4093860161168,0.205861000526693,0.207038034930317,1.14854810634862,5.58969668985989,0.492755957380671,0.19761720037243,0.0993724088962184,0.0999405822935235,0.554422604422604,5.37262109025368,0.473619803695984,0.189942745989035,0.0955132862206371,0.0960593946316391,0.532891629493571
"4","FULL","CP/MS","HAL","OA","GOA",68,4,4,4,1.66094215861658,2.86607036374478,"FULLCP/MSHALOAGOA",NA,42.1480935844821,NA,NA,NA,NA,NA,3.79332842260339,NA,NA,NA,NA,NA,0.716517590936196,NA,NA,NA,NA,NA,0.716517590936196,NA,NA,NA,NA
"5","FULL","CP/MS","NPT","A80","BSAI",10452,218,163,232,296.987163998328,1421.28764984079,"FULLCP/MSNPTA80BSAI",18.8395794238162,20.8871643726825,47.8235338998532,13.3890616917101,20.6838551166068,14.3591677074235,1.69556214814346,1.87984479354142,4.30411805098679,1.20501555225391,1.86154696049461,1.29232509366812,0.903262771273978,1.00143413772145,2.29289713908838,0.641937948631898,0.991686484765019,0.688449637055002,0.848755535076411,0.941002767341712,2.15453265655718,0.603200313800663,0.931843334822303,0.646905262405131
"6","FULL","CP/MS","NPT","CDQ","BSAI",2181,102,87,102,43.2040956604934,248.68523290027,"FULLCP/MSNPTCDQBSAI",7.43739502523269,11.8987173222977,65.0853022837488,7.25509160337027,10.7631445722883,11.5838397479774,0.669365552270943,1.07088455900679,5.8576772055374,0.652958244303324,0.968683011505945,1.04254557731797,0.159029005392476,0.254422573332659,1.39167690471428,0.155130929283829,0.230141356001576,0.247689749905281,0.159029005392476,0.254422573332659,1.39167690471428,0.155130929283829,0.230141356001576,0.247689749905281
"7","FULL","CP/MS","NPT","OA","BSAI",2205,90,80,90,53.0772570906303,238.635547433846,"FULLCP/MSNPTOABSAI",9.09079890065887,16.7826620495693,61.2844309857865,3.8798007806151,5.59543220365762,11.5916131449488,0.818171901059299,1.51043958446124,5.51559878872078,0.349182070255359,0.503588898329186,1.04324518304539,0.222724573066142,0.411175220214449,1.50146855915177,0.09505511912507,0.137088088989612,0.283994522051245,0.222724573066142,0.411175220214449,1.50146855915177,0.09505511912507,0.137088088989612,0.283994522051245
"8","FULL","CP/MS","NPT","OA","GOA",798,30,30,31,16.6676030546091,62.2611832326266,"FULLCP/MSNPTOAGOA",30.5457229483182,15.224118980607,6.04139896756304,24.9571591443971,1.2531328320802,NA,2.74911506534864,1.37017070825463,0.543725907080673,2.24614432299574,0.112781954887218,NA,0.812516230425265,0.404961564884147,0.160701212537177,0.663860433240964,0.0333333333333333,NA,0.786306029443805,0.391898288597561,0.155517302455332,0.642445580555772,0.032258064516129,NA
"9","FULL","CP/MS","NPT","RPP","GOA",277,11,11,11,6.87022190952997,11.8496166074478,"FULLCP/MSNPTRPPGOA",1.44404332129964,31.2174356071986,7.87063076545694,2.24628961091055,NA,NA,0.129963898916968,2.80956920464788,0.708356768891124,0.202166064981949,NA,NA,0.0363636363636364,0.786111787563093,0.198196792911961,0.0565656565656566,NA,NA,0.0363636363636364,0.786111787563093,0.198196792911961,0.0565656565656566,NA,NA
"10","FULL","CP/MS","POT","CDQ","BSAI",147,6,6,6,5.36660617059891,7.78765880217786,"FULLCP/MSPOTCDQBSAI",9.48183266046891,30.9641097818438,2.86430361618332,9.66702470461869,NA,NA,0.853364939442202,2.78676988036594,0.257787325456498,0.870032223415682,NA,NA,0.232304900181488,0.758620689655172,0.0701754385964912,0.236842105263158,NA,NA,0.232304900181488,0.758620689655172,0.0701754385964912,0.236842105263158,NA,NA
"11","FULL","CP/MS","POT","OA","BSAI",152,11,11,11,3.28235294117647,3.47058823529412,"FULLCP/MSPOTOABSAI",6.88854489164087,7.5077399380805,6.88854489164087,0.928792569659443,NA,0.619195046439629,0.619969040247678,0.675696594427245,0.619969040247678,0.0835913312693498,NA,0.0557275541795666,0.0951871657754011,0.103743315508021,0.0951871657754011,0.0128342245989305,NA,0.00855614973262032,0.0951871657754011,0.103743315508021,0.0951871657754011,0.0128342245989305,NA,0.00855614973262032
