"","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","ALL OTHER STATEMENT TYPES","COAST GUARD","LIMITED ACCESS PROGRAMS","OLE PRIORITY: INTER-PERSONAL","OLE PRIORITY: SAFETY AND DUTIES","PROTECTED RESOURCE & PROHIBITED SPECIES","TOTAL_DAYS","TOTAL_CRUISES","TOTAL_OBSERVERS","DISTINCT_OBSERVER_ASSIGNMENTS","TOTAL_STATEMENTS","TOTAL_INCIDENTS","FACTOR_GROUP"
"1","FULL","CP/MS","HAL","CDQ","BSAI",36.1412054268639,8.29274113251516,10.514307859051,1.06580349741444,0.204801456365912,0.870406189555126,517,30,27,30,9.8082854007715,29.5151502954328,"FULLCP/MSHALCDQBSAI"
"2","FULL","CP/MS","HAL","IFQ","GOA",22.8780494080372,11.9985040119679,NA,3.55297157622739,NA,3.84978001257071,172,4,4,4,5.22140034771614,7.27204046151415,"FULLCP/MSHALIFQGOA"
"3","FULL","CP/MS","HAL","OA","BSAI",128.663095163015,11.3422087376625,4.54873351240888,2.28734445029659,2.30042261033686,12.7616456260958,4301,99,76,103,89.3093720928958,696.346738879308,"FULLCP/MSHALOABSAI"
"4","FULL","CP/MS","HAL","OA","GOA",NA,42.1480935844821,NA,NA,NA,NA,68,4,4,4,1.66094215861658,2.86607036374478,"FULLCP/MSHALOAGOA"
"5","FULL","CP/MS","NPT","A80","BSAI",18.8395794238162,20.8871643726825,47.8235338998532,13.3890616917101,20.6838551166068,14.3591677074235,10452,218,163,232,296.987163998328,1421.28764984079,"FULLCP/MSNPTA80BSAI"
"6","FULL","CP/MS","NPT","CDQ","BSAI",7.43739502523269,11.8987173222977,65.0853022837488,7.25509160337027,10.7631445722883,11.5838397479774,2181,102,87,102,43.2040956604934,248.68523290027,"FULLCP/MSNPTCDQBSAI"
"7","FULL","CP/MS","NPT","OA","BSAI",9.09079890065887,16.7826620495693,61.2844309857865,3.8798007806151,5.59543220365762,11.5916131449488,2205,90,80,90,53.0772570906303,238.635547433846,"FULLCP/MSNPTOABSAI"
"8","FULL","CP/MS","NPT","OA","GOA",30.5457229483182,15.224118980607,6.04139896756304,24.9571591443971,1.2531328320802,NA,798,30,30,31,16.6676030546091,62.2611832326266,"FULLCP/MSNPTOAGOA"
"9","FULL","CP/MS","NPT","RPP","GOA",1.44404332129964,31.2174356071986,7.87063076545694,2.24628961091055,NA,NA,277,11,11,11,6.87022190952997,11.8496166074478,"FULLCP/MSNPTRPPGOA"
"10","FULL","CP/MS","POT","CDQ","BSAI",9.48183266046891,30.9641097818438,2.86430361618332,9.66702470461869,NA,NA,147,6,6,6,5.36660617059891,7.78765880217786,"FULLCP/MSPOTCDQBSAI"
"11","FULL","CP/MS","POT","OA","BSAI",6.88854489164087,7.5077399380805,6.88854489164087,0.928792569659443,NA,0.619195046439629,152,11,11,11,3.28235294117647,3.47058823529412,"FULLCP/MSPOTOABSAI"
"12","FULL","CP/MS","PTR","AFA","BSAI",39.3438364259337,28.0939398835725,233.775870536448,7.82807301952673,4.84731167713211,68.0664881441417,4842,108,97,113,158.975667374099,1849.42862632327,"FULLCP/MSPTRAFABSAI"
"13","FULL","CP/MS","PTR","CDQ","BSAI",38.6123758165835,21.0696855941194,22.3385627886307,4.0576993944678,2.01378730838085,9.09400032330095,1256,66,61,67,29.6198382438786,122.065755699207,"FULLCP/MSPTRCDQBSAI"
"14","FULL","CV","NPT","OA","BSAI",58.4391964702366,31.5329294888607,NA,16.9048289172128,NA,20.9614162146094,385,22,20,22,11.9419614555216,49.217772870004,"FULLCVNPTOABSAI"
"15","FULL","CV","NPT","RPP","GOA",123.216230076334,9.90652678917412,2.93501048218029,2.00290275761974,47.1373280807243,13.974371909999,530,37,36,52,33.43653930108,105.561356150897,"FULLCVNPTRPPGOA"
"16","FULL","CV","PTR","AFA","BSAI",55.1530615480597,9.91204979642047,2.10600210600211,3.52792550934966,1.999801999802,7.12880013541305,8547,234,189,281,204.13189062308,682.286848439367,"FULLCVPTRAFABSAI"
"17","FULL","CV","PTR","RPP","GOA",160.719948215953,11.7047503583829,1.79937022042285,1.12114606041732,19.9389005057021,2.40316958583212,247,36,33,43,19.3843454624235,48.8287593818374,"FULLCVPTRRPPGOA"
"18","FULL","PLANT",NA,"AFA","BSAI",224.907824662024,1.22900450634986,1.22900450634986,9.01269971323228,35.2314625153626,20.4834084391643,2441,64,61,66,52,713,"FULLPLANTNAAFABSAI"
"19","PARTIAL","CV","HAL","CDQ","BSAI",31.25,NA,NA,NA,NA,125,32,5,5,5,2,5,"PARTIALCVHALCDQBSAI"
"20","PARTIAL","CV","HAL","IFQ","BSAI",87.926950336785,1.05559465165377,65.0510204081633,NA,NA,6.37755102040816,196,20,17,26,4.96898790864308,31.440578817734,"PARTIALCVHALIFQBSAI"
"21","PARTIAL","CV","HAL","IFQ","GOA",50.2598558999014,6.61072463284565,37.2641509433962,0.628930817610063,5.66037735849057,56.3014029995162,1590,76,50,244,82.5881216484665,249.193453816299,"PARTIALCVHALIFQGOA"
"22","PARTIAL","CV","HAL","OA","BSAI",NA,NA,NA,NA,NA,NA,11,3,3,4,0,0,"PARTIALCVHALOABSAI"
"23","PARTIAL","CV","HAL","OA","GOA",54.0540540540541,NA,NA,NA,27.027027027027,432.432432432432,37,8,8,9,4,19,"PARTIALCVHALOAGOA"
"24","PARTIAL","CV","NPT","OA","BSAI",123.576850094877,17.4335863377609,NA,4.03225806451613,24.1935483870968,48.3870967741935,248,23,22,32,16.1470588235294,53.9705882352941,"PARTIALCVNPTOABSAI"
"25","PARTIAL","CV","NPT","OA","GOA",55.4608574410555,9.9009900990099,NA,19.5149949777586,19.8019801980198,96.0903782685961,303,44,29,70,31.3715294367468,60.8330678982853,"PARTIALCVNPTOAGOA"
"26","PARTIAL","CV","POT","CDQ","BSAI",NA,NA,NA,NA,NA,NA,20,3,3,3,0,0,"PARTIALCVPOTCDQBSAI"
"27","PARTIAL","CV","POT","IFQ","BSAI",250,NA,625,NA,125,NA,16,4,4,4,4,16,"PARTIALCVPOTIFQBSAI"
