"","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","ALL OTHER STATEMENT TYPES","COAST GUARD","LIMITED ACCESS PROGRAMS","OLE PRIORITY: INTER-PERSONAL","OLE PRIORITY: SAFETY AND DUTIES","PROTECTED RESOURCE & PROHIBITED SPECIES","UNKNOWN","CALENDAR_YEAR","TOTAL_DAYS","TOTAL_CRUISES","TOTAL_OBSERVERS","DISTINCT_OBSERVER_ASSIGNMENTS","TOTAL_STATEMENTS","TOTAL_INCIDENTS","FACTOR_GROUP"
"1","FULL","CP/MS","HAL","CDQ","BSAI",2,2,2,1,2,2,0,2020,517,26,22,26,6.43133864279026,44.4398838123838,"FULLCP/MSHALCDQBSAI"
"2","FULL","CP/MS","HAL","CDQ","BSAI",2,2,2,1,2,2,0,2019,519,30,27,30,9.9082854007715,29.8151502954328,"FULLCP/MSHALCDQBSAI"
"3","FULL","CP/MS","HAL","IFQ","BSAI",0,1,1,0,0,0,0,2020,33,3,3,3,0.162962962962963,1.31851851851852,"FULLCP/MSHALIFQBSAI"
"4","FULL","CP/MS","HAL","IFQ","BSAI",0,1,1,0,0,0,0,2019,49,3,3,3,0,0,"FULLCP/MSHALIFQBSAI"
"5","FULL","CP/MS","HAL","IFQ","GOA",2,2,1,1,1,1,0,2020,89,3,3,3,2.27100893997446,13.8694763729246,"FULLCP/MSHALIFQGOA"
"6","FULL","CP/MS","HAL","IFQ","GOA",2,2,1,1,1,1,0,2019,172,4,4,4,5.22140034771614,7.27204046151415,"FULLCP/MSHALIFQGOA"
"7","FULL","CP/MS","HAL","OA","BSAI",2,2,2,2,2,2,0,2019,4299,99,76,103,89.2093720928958,696.046738879308,"FULLCP/MSHALOABSAI"
"8","FULL","CP/MS","HAL","OA","BSAI",2,2,2,2,2,2,0,2020,3577,71,54,73,62.1346894542723,291.372121296173,"FULLCP/MSHALOABSAI"
"9","FULL","CP/MS","HAL","OA","GOA",0,1,0,0,0,0,0,2019,68,4,4,4,1.66094215861658,2.86607036374478,"FULLCP/MSHALOAGOA"
"10","FULL","CP/MS","NPT","A80","BSAI",2,2,2,2,2,2,1,2019,10458,218,163,232,296.895780599593,1416.09360536652,"FULLCP/MSNPTA80BSAI"
"11","FULL","CP/MS","NPT","A80","BSAI",2,2,2,2,2,2,1,2020,9904,165,136,167,217.66496318055,890.410108159516,"FULLCP/MSNPTA80BSAI"
