"","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","ALL_OTHER_STATEMENT_TYPES_1000_DEPLOYED_DAYS","COAST_GUARD_1000_DEPLOYED_DAYS","LIMITED_ACCESS_PROGRAMS_1000_DEPLOYED_DAYS","OLE_PRIORITY_INTER_PERSONAL_1000_DEPLOYED_DAYS","OLE_PRIORITY_SAFETY_AND_DUTIES_1000_DEPLOYED_DAYS","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_1000_DEPLOYED_DAYS","ALL_OTHER_STATEMENT_TYPES_90_DEPLOYED_DAYS","COAST_GUARD_90_DEPLOYED_DAYS","LIMITED_ACCESS_PROGRAMS_90_DEPLOYED_DAYS","OLE_PRIORITY_INTER_PERSONAL_90_DEPLOYED_DAYS","OLE_PRIORITY_SAFETY_AND_DUTIES_90_DEPLOYED_DAYS","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_90_DEPLOYED_DAYS","ALL_OTHER_STATEMENT_TYPES_CRUISE","COAST_GUARD_CRUISE","LIMITED_ACCESS_PROGRAMS_CRUISE","OLE_PRIORITY_INTER_PERSONAL_CRUISE","OLE_PRIORITY_SAFETY_AND_DUTIES_CRUISE","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_CRUISE","ALL_OTHER_STATEMENT_TYPES_ASSIGNMENT","COAST_GUARD_ASSIGNMENT","LIMITED_ACCESS_PROGRAMS_ASSIGNMENT","OLE_PRIORITY_INTER_PERSONAL_ASSIGNMENT","OLE_PRIORITY_SAFETY_AND_DUTIES_ASSIGNMENT","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_ASSIGNMENT"
"1","FULL","CP/MS","Hook-and-Line","CDQ","BSAI",35.6493627385239,8.14431827125511,10.5551401225813,1.06994254012285,0.205596801827527,NA,3.20844264646715,0.73298864441296,0.94996261103232,0.0962948286110561,0.0185037121644774,NA,0.592239413236768,0.135300771280528,0.175351521391271,0.0177748518762344,0.00341555977229602,NA,0.592239413236768,0.135300771280528,0.175351521391271,0.0177748518762344,0.00341555977229602,NA
"2","FULL","CP/MS","Hook-and-Line","IFQ","GOA",22.8780494080372,11.9985040119679,NA,3.55297157622739,NA,3.84978001257071,2.05902444672334,1.07986536107711,NA,0.319767441860465,NA,0.346480201131364,0.983756124545598,0.51593567251462,NA,0.152777777777778,NA,0.165540540540541,0.983756124545598,0.51593567251462,NA,0.152777777777778,NA,0.165540540540541
"3","FULL","CP/MS","Hook-and-Line","Open Access","BSAI",128.619176234954,10.9244388363174,4.54450704689213,2.28521915928586,2.29828516772563,12.1574536208683,11.5757258611459,0.983199495268568,0.409005634220292,0.205669724335727,0.206845665095306,1.09417082587814,5.59298539082301,0.475047567579258,0.19761720037243,0.0993724088962184,0.0999405822935235,0.528665028665029,5.37578207467454,0.456599118352879,0.189942745989035,0.0955132862206371,0.0960593946316391,0.508134347940173
"4","FULL","CP/MS","Hook-and-Line","Open Access","GOA",NA,41.0943062105853,NA,NA,NA,NA,NA,3.69848755895268,NA,NA,NA,NA,NA,0.678056052474657,NA,NA,NA,NA,NA,0.678056052474657,NA,NA,NA,NA
"5","FULL","CP/MS","Non-Pelagic Trawl","A80","BSAI",18.8214906698933,20.9090513284972,47.4187925627646,13.4223422267266,20.6450954330921,14.3873157918713,1.6939341602904,1.88181461956475,4.26769133064882,1.20801080040539,1.85805858897829,1.29485842126842,0.892138657752942,0.991089032970767,2.24765076747504,0.63621902154684,0.978577523528564,0.6819587685347,0.835193637045307,0.92782803086625,2.10418369721068,0.595609296767254,0.916115128409719,0.63842948543674
"6","FULL","CP/MS","Non-Pelagic Trawl","CDQ","BSAI",7.57121228763189,11.9734918155239,65.5528521627184,7.16629850416094,11.0306223961043,11.7653049270824,0.68140910588687,1.07761426339715,5.89975669464465,0.644966865374484,0.992756015649383,1.05887744343742,0.163111845303448,0.25795318775386,1.41225028105895,0.154388508550807,0.237640301912188,0.253468074108697,0.163111845303448,0.25795318775386,1.41225028105895,0.154388508550807,0.237640301912188,0.253468074108697
"7","FULL","CP/MS","Non-Pelagic Trawl","CGOA Rockfish","GOA",1.45985401459854,31.7037723488688,4.54012594622487,2.27088402270884,NA,NA,0.131386861313869,2.8533395113982,0.408611335160238,0.204379562043796,NA,NA,0.0363636363636364,0.789712147599097,0.113090409933238,0.0565656565656566,NA,NA,0.0363636363636364,0.789712147599097,0.113090409933238,0.0565656565656566,NA,NA
"8","FULL","CP/MS","Non-Pelagic Trawl","Open Access","BSAI",9.12837729664582,16.6420506120068,62.6031707804556,3.8517391454729,5.59281919918315,11.1681644019579,0.821553956698124,1.49778455508061,5.634285370241,0.346656523092561,0.503353727926483,1.00513479617621,0.221515289065272,0.403847094851365,1.51917027760572,0.0934688699301424,0.135719079233511,0.271014122820846,0.221515289065272,0.403847094851365,1.51917027760572,0.0934688699301424,0.135719079233511,0.271014122820846
"9","FULL","CP/MS","Non-Pelagic Trawl","Open Access","GOA",30.5001544816971,15.0371965689418,7.38385084192981,24.9610373117692,1.27979523276276,NA,2.74501390335274,1.35334769120476,0.664546575773683,2.24649335805922,0.115181570948648,NA,0.737549190193767,0.363626753394411,0.178554938541212,0.603603265902781,0.0309477756286267,NA,0.695403522182695,0.342848081771873,0.168351799196,0.569111650708337,0.0291793313069909,NA
"10","FULL","CP/MS","Pelagic Trawl","AFA","BSAI",39.5799020564464,27.9026303933785,233.010119008474,7.84374074614379,4.82913611498881,67.8232281214565,3.56219118508018,2.51123673540406,20.9709107107627,0.705936667152941,0.434622250348993,6.10409053093109,1.7803626313909,1.25510165232438,10.4811403531775,0.352823079118209,0.217221696727923,3.05078927975959,1.70158552380723,1.19956618098259,10.017373080913,0.337211438449261,0.207610117226687,2.91579860366403
