"","OLE_CATEGORY","AFFIDAVIT_TYPE","NUM_CATEGS_WITH_0_INCIDS"
"1","ALL OTHER STATEMENT TYPES","Contractor Problems",20
"2","ALL OTHER STATEMENT TYPES","Failure to Notify",13
"3","ALL OTHER STATEMENT TYPES","Inadequate Accomodations",20
"4","ALL OTHER STATEMENT TYPES","IR/IU",15
"5","ALL OTHER STATEMENT TYPES","Miscellaneous Violations",26
"6","ALL OTHER STATEMENT TYPES","Reasonable Assistance",12
"7","ALL OTHER STATEMENT TYPES","Record Keeping and Reporting",7
"8","ALL OTHER STATEMENT TYPES","Restricted Access",25
"9","COAST GUARD","MARPOL/Oil Spill",13
"10","COAST GUARD","Safety-USCG-Equipment",21
"11","COAST GUARD","Safety-USCG-Fail to Conduct Drills",13
"12","COAST GUARD","Safety-USCG-Marine Casualty",7
"13","LIMITED ACCESS PROGRAMS","AFA",27
"14","LIMITED ACCESS PROGRAMS","Amendment 80",25
"15","LIMITED ACCESS PROGRAMS","Catcher Processer Longline",27
"16","LIMITED ACCESS PROGRAMS","IFQ Retention",27
"17","LIMITED ACCESS PROGRAMS","Rockfish Program",29
"18","OLE PRIORITY: INTER-PERSONAL","Disruptive/Bothersome Behavior - Conflict Resolved",15
"19","OLE PRIORITY: INTER-PERSONAL","Harassment-Assault",28
"20","OLE PRIORITY: INTER-PERSONAL","Harassment - Sexual",25
"21","OLE PRIORITY: INTER-PERSONAL","Intimidation, coercion, hostile work environment",15
"22","OLE PRIORITY: SAFETY AND DUTIES","Interference/Sample Biasing",17
"23","OLE PRIORITY: SAFETY AND DUTIES","Safety-NMFS",14
"24","PROTECTED RESOURCE & PROHIBITED SPECIES","Amendment 91 salmon",26
"25","PROTECTED RESOURCE & PROHIBITED SPECIES","Gulf of Alaska Salmon",27
"26","PROTECTED RESOURCE & PROHIBITED SPECIES","Prohibited Species - Mishandling",14
"27","PROTECTED RESOURCE & PROHIBITED SPECIES","Prohibited Species - Retaining",25
"28","PROTECTED RESOURCE & PROHIBITED SPECIES","Sample Bias-Marine Mammals",29
"29","PROTECTED RESOURCE & PROHIBITED SPECIES","Sample Bias-Seabirds",28
"30","PROTECTED RESOURCE & PROHIBITED SPECIES","Seabird-Avoidance Measures",26
"31","PROTECTED RESOURCE & PROHIBITED SPECIES","Seabird-Harassment",29
