Category Group,Statement Category,Sum Totals,,, Occurrences Per Statement Statistics,,,,,,
,,N STATEMENTS,N INCIDENTS,MEAN INCIS PER,MEDIAN INCIS PER,MIN INCIS PER,MAX INCIS PER,QUANT 25 INCIS PER,QUANT 75 INCIS PER,STDEV INCIS PER,NUM CATEGS WITH 0 INCIDS
OLE PRIORITY: INTER-PERSONAL,Disruptive/Bothersome Behavior - Conflict Resolved,35,109,3.114285714,1,1,47,1,2,7.873154045,18
,Harassment-Assault,2,2,1,1,1,1,1,1,0,30
,Harassment - Sexual,8,9,1.125,1,1,2,1,1,0.353553391,27
,"Intimidation, coercion, hostile work environment",38,193,5.078947368,2,1,58,1,4,10.20434878,18
OLE PRIORITY: SAFETY AND DUTIES,Interference/Sample Biasing,37,107,2.891891892,1,1,25,1,2,4.452114253,19
,Safety-NMFS,71,356,5.014084507,1,1,77,1,2,13.03784925,16
COAST GUARD,MARPOL/Oil Spill,62,126,2.032258065,1,1,30,1,2,3.72394882,15
,Safety-USCG-Equipment,11,11,1,1,1,1,1,1,0,23
,Safety-USCG-Fail to Conduct Drills,142,276,1.943661972,1,1,9,1,2,1.457553804,16
,Safety-USCG-Marine Casualty,197,257,1.304568528,1,1,5,1,1,0.727470766,9
LIMITED ACCESS PROGRAMS,AFA,33,1181,35.78787879,1,1,575,1,2,119.9566999,29
,Amendment 80,83,784,9.445783133,2,1,362,1,3,40.63827735,27
,Catcher Processer Longline,18,27,1.5,1,1,4,1,2,0.857492926,29
,IFQ Retention,20,86,4.3,2,1,18,1,5.25,4.86772399,29
,Rockfish Program,2,2,1,1,1,1,1,1,0,31
PROTECTED RESOURCE & PROHIBITED SPECIES,Amendment 91 salmon,77,425,5.519480519,1,1,120,1,2,16.62956339,28
,Gulf of Alaska Salmon,23,28,1.217391304,1,1,2,1,1,0.421741168,29
,Marine Mammal-Feeding,1,1,1,1,1,1,1,1,NA,NA
,Marine Mammal-Harassment*,69,348,5.043478261,2,1,45,1,4,7.714453171,17
,Prohibited Species - Mishandling,5,5,1,1,1,1,1,1,0,27
,Prohibited Species - Retaining,6,6,1,1,1,1,1,1,0,31
,Sample Bias-Marine Mammals,2,2,1,1,1,1,1,1,0,30
,Sample Bias-Seabirds,13,84,6.461538462,4,1,19,2,8,5.738980522,28
,Seabird-Avoidance Measures,2,5,2.5,2.5,1,4,1.75,3.25,2.121320344,31
,Seabird-Harassment,15,49,3.266666667,1,1,17,1,2,5.229950378,22
ALL OTHER STATEMENT TYPES,Contractor Problems,46,166,3.608695652,1,1,64,1,3,9.41978594,16
,Failure to Notify,16,112,7,1,1,77,1,2.25,18.91383973,22
,Inadequate Accomodations,28,193,6.892857143,1,1,70,1,3.5,15.7064254,17
,IR/IU,8,9,1.125,1,1,2,1,1,0.353553391,28
,Miscellaneous Violations,43,212,4.930232558,1,1,139,1,1.5,21.0174478,14
,Reasonable Assistance,186,1641,8.822580645,1,1,300,1,2,29.85180923,9
,Record Keeping and Reporting,5,85,17,2,1,77,1,4,33.56337289,27
,Restricted Access,,,,,,,,,,
