"","OLE_CATEGORY","AFFIDAVIT_TYPE","NUM_CATEGS_WITH_0_INCIDS"
"1","ALL OTHER STATEMENT TYPES","Contractor Problems",22
"2","ALL OTHER STATEMENT TYPES","Failure to Notify",16
"3","ALL OTHER STATEMENT TYPES","Inadequate Accomodations",22
"4","ALL OTHER STATEMENT TYPES","IR/IU",17
"5","ALL OTHER STATEMENT TYPES","Miscellaneous Violations",28
"6","ALL OTHER STATEMENT TYPES","Reasonable Assistance",14
"7","ALL OTHER STATEMENT TYPES","Record Keeping and Reporting",9
"8","ALL OTHER STATEMENT TYPES","Restricted Access",27
"9","COAST GUARD","MARPOL/Oil Spill",15
"10","COAST GUARD","Safety-USCG-Equipment",23
"11","COAST GUARD","Safety-USCG-Fail to Conduct Drills",16
"12","COAST GUARD","Safety-USCG-Marine Casualty",9
"13","LIMITED ACCESS PROGRAMS","AFA",29
"14","LIMITED ACCESS PROGRAMS","Amendment 80",27
"15","LIMITED ACCESS PROGRAMS","Catcher Processer Longline",29
"16","LIMITED ACCESS PROGRAMS","IFQ Retention",29
"17","LIMITED ACCESS PROGRAMS","Rockfish Program",31
"18","OLE PRIORITY: INTER-PERSONAL","Disruptive/Bothersome Behavior - Conflict Resolved",18
"19","OLE PRIORITY: INTER-PERSONAL","Harassment-Assault",30
"20","OLE PRIORITY: INTER-PERSONAL","Harassment - Sexual",27
"21","OLE PRIORITY: INTER-PERSONAL","Intimidation, coercion, hostile work environment",18
"22","OLE PRIORITY: SAFETY AND DUTIES","Interference/Sample Biasing",19
"23","OLE PRIORITY: SAFETY AND DUTIES","Safety-NMFS",16
"24","PROTECTED RESOURCE & PROHIBITED SPECIES","Amendment 91 salmon",28
"25","PROTECTED RESOURCE & PROHIBITED SPECIES","Gulf of Alaska Salmon",29
"26","PROTECTED RESOURCE & PROHIBITED SPECIES","Prohibited Species - Mishandling",17
"27","PROTECTED RESOURCE & PROHIBITED SPECIES","Prohibited Species - Retaining",27
"28","PROTECTED RESOURCE & PROHIBITED SPECIES","Sample Bias-Marine Mammals",31
"29","PROTECTED RESOURCE & PROHIBITED SPECIES","Sample Bias-Seabirds",30
"30","PROTECTED RESOURCE & PROHIBITED SPECIES","Seabird-Avoidance Measures",28
"31","PROTECTED RESOURCE & PROHIBITED SPECIES","Seabird-Harassment",31
