"","FISCAL_YEAR","COVERAGE_TYPE","DISTINCT_OBSERVER_DAYS","VESS_PLANT_DEPLOYED_DAYS","DISTINCT_CRUISES","DISTINCT_ASSIGNMENTS","DISTINCT_OBSERVERS"
"1",2017,"FULL",37548,37612,684,955,338
"2",2017,"PARTIAL",3900,3920,141,669,70
"3",2018,"FULL",37710,37802,690,1053,354
"4",2018,"PARTIAL",3617,3635,134,635,64
"5",2019,"FULL",35940,36004,686,993,344
"6",2019,"PARTIAL",3849,3867,141,660,69
"7",2020,"FULL",37957,38000,652,824,339
"8",2020,"PARTIAL",1826,1867,109,293,59
"9",2021,"FULL",34613,34824,599,794,361
"10",2021,"PARTIAL",2678,2771,101,349,64
"11",2022,"FULL",28454,28870,547,756,311
"12",2022,"PARTIAL",3411,3419,120,513,70
