"","FISCAL_YEAR","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","TOTAL_DAYS","TOTAL_OBSERVERS","TOTAL_CRUISES","DISTINCT_OBSERVER_ASSIGNMENTS"
"1",2017,"FULL","CP/MS","HAL","CDQ","BSAI",748,31,32,32
"2",2017,"FULL","CP/MS","HAL","IFQ","BSAI",40,4,4,4
"3",2017,"FULL","CP/MS","HAL","IFQ","GOA",132,6,6,6
"4",2017,"FULL","CP/MS","HAL","OA","BSAI",6766,102,162,175
"5",2017,"FULL","CP/MS","HAL","OA","GOA",451,22,22,22
"6",2017,"FULL","CP/MS","NPT","A80","BSAI",9586,167,238,252
"7",2017,"FULL","CP/MS","NPT","CDQ","BSAI",1796,85,103,104
"8",2017,"FULL","CP/MS","NPT","OA","BSAI",1830,67,73,74
"9",2017,"FULL","CP/MS","NPT","OA","GOA",1037,39,39,39
"10",2017,"FULL","CP/MS","NPT","RPP","GOA",279,11,11,11
"11",2017,"FULL","CP/MS","POT","CDQ","BSAI",86,4,4,4
"12",2017,"FULL","CP/MS","POT","OA","BSAI",333,16,16,16
"13",2017,"FULL","CP/MS","PTR","AFA","BSAI",4440,84,95,98
"14",2017,"FULL","CP/MS","PTR","CDQ","BSAI",1246,59,66,67
"15",2017,"FULL","CV","NPT","OA","BSAI",606,31,31,32
"16",2017,"FULL","CV","NPT","RPP","GOA",412,23,28,37
"17",2017,"FULL","CV","PTR","AFA","BSAI",7819,162,214,253
"18",2017,"FULL","CV","PTR","RPP","GOA",121,18,19,22
"19",2017,"FULL","PLANT"," ","AFA","BSAI",2201,43,46,49
"20",2017,"PARTIAL","CV","HAL","CDQ","BSAI",38,5,6,6
"21",2017,"PARTIAL","CV","HAL","IFQ","BSAI",124,14,15,18
"22",2017,"PARTIAL","CV","HAL","IFQ","GOA",1362,49,83,216
"23",2017,"PARTIAL","CV","HAL","OA","GOA",156,19,19,28
"24",2017,"PARTIAL","CV","NPT","OA","BSAI",177,13,14,24
"25",2017,"PARTIAL","CV","NPT","OA","GOA",241,25,29,43
"26",2017,"PARTIAL","CV","POT","IFQ","BSAI",30,4,4,5
"27",2017,"PARTIAL","CV","POT","IFQ","GOA",60,8,8,9
"28",2017,"PARTIAL","CV","POT","OA","BSAI",193,14,16,38
"29",2017,"PARTIAL","CV","POT","OA","GOA",315,26,31,54
"30",2017,"PARTIAL","CV","PTR","OA","GOA",1211,60,93,245
"31",2018,"FULL","CP/MS","HAL","CDQ","BSAI",990,35,41,42
"32",2018,"FULL","CP/MS","HAL","IFQ","BSAI",14,3,3,3
"33",2018,"FULL","CP/MS","HAL","IFQ","GOA",192,6,6,6
"34",2018,"FULL","CP/MS","HAL","OA","BSAI",5205,92,137,148
"35",2018,"FULL","CP/MS","HAL","OA","GOA",121,7,7,7
"36",2018,"FULL","CP/MS","NPT","A80","BSAI",9988,180,241,253
"37",2018,"FULL","CP/MS","NPT","CDQ","BSAI",1851,99,112,113
"38",2018,"FULL","CP/MS","NPT","OA","BSAI",2083,83,89,89
"39",2018,"FULL","CP/MS","NPT","OA","GOA",730,35,38,38
"40",2018,"FULL","CP/MS","NPT","RPP","GOA",296,16,16,16
"41",2018,"FULL","CP/MS","POT","CDQ","BSAI",195,9,9,9
"42",2018,"FULL","CP/MS","POT","IFQ","BSAI",38,3,3,3
"43",2018,"FULL","CP/MS","POT","OA","BSAI",406,18,18,18
"44",2018,"FULL","CP/MS","PTR","AFA","BSAI",4685,85,96,97
"45",2018,"FULL","CP/MS","PTR","CDQ","BSAI",1227,62,64,64
"46",2018,"FULL","CP/MS","PTR","OA","GOA",82,3,3,3
"47",2018,"FULL","CV","NPT","OA","BSAI",712,36,36,36
"48",2018,"FULL","CV","NPT","RPP","GOA",551,46,51,76
"49",2018,"FULL","CV","PTR","AFA","BSAI",8231,191,243,286
"50",2018,"FULL","CV","PTR","OA","BSAI",165,9,9,9
"51",2018,"FULL","CV","PTR","OA","GOA",9,4,4,4
"52",2018,"FULL","CV","PTR","RPP","GOA",250,35,37,46
"53",2018,"FULL","PLANT"," ","AFA","BSAI",2417,70,76,78
"54",2018,"PARTIAL","CV","HAL","IFQ","BSAI",200,17,19,24
"55",2018,"PARTIAL","CV","HAL","IFQ","GOA",1441,52,86,234
"56",2018,"PARTIAL","CV","HAL","OA","BSAI",44,3,3,5
"57",2018,"PARTIAL","CV","HAL","OA","GOA",43,9,9,10
"58",2018,"PARTIAL","CV","NPT","OA","BSAI",164,17,17,22
"59",2018,"PARTIAL","CV","NPT","OA","GOA",206,30,37,46
"60",2018,"PARTIAL","CV","POT","CDQ","BSAI",19,4,4,4
"61",2018,"PARTIAL","CV","POT","IFQ","BSAI",19,3,3,4
"62",2018,"PARTIAL","CV","POT","IFQ","GOA",134,16,19,21
"63",2018,"PARTIAL","CV","POT","OA","BSAI",276,22,24,38
"64",2018,"PARTIAL","CV","POT","OA","GOA",70,15,15,16
"65",2018,"PARTIAL","CV","PTR","OA","GOA",1022,56,89,234
"66",2019,"FULL","CP/MS","HAL","CDQ","BSAI",568,27,31,32
"67",2019,"FULL","CP/MS","HAL","IFQ","GOA",137,5,5,5
"68",2019,"FULL","CP/MS","HAL","OA","BSAI",4584,86,119,122
"69",2019,"FULL","CP/MS","HAL","OA","GOA",68,4,4,4
"70",2019,"FULL","CP/MS","NPT","A80","BSAI",10443,187,263,278
"71",2019,"FULL","CP/MS","NPT","CDQ","BSAI",2086,103,122,124
"72",2019,"FULL","CP/MS","NPT","OA","BSAI",2178,79,86,86
"73",2019,"FULL","CP/MS","NPT","OA","GOA",706,29,29,29
"74",2019,"FULL","CP/MS","NPT","RPP","GOA",224,10,10,10
"75",2019,"FULL","CP/MS","POT","CDQ","BSAI",111,6,6,6
"76",2019,"FULL","CP/MS","POT","OA","BSAI",153,9,9,9
"77",2019,"FULL","CP/MS","PTR","AFA","BSAI",4574,95,107,110
"78",2019,"FULL","CP/MS","PTR","CDQ","BSAI",1185,58,62,62
"79",2019,"FULL","CV","NPT","OA","BSAI",385,20,22,22
"80",2019,"FULL","CV","NPT","RPP","GOA",564,38,42,58
"81",2019,"FULL","CV","PTR","AFA","BSAI",8407,189,232,277
"82",2019,"FULL","CV","PTR","RPP","GOA",214,30,31,38
"83",2019,"FULL","PLANT"," ","AFA","BSAI",2365,60,64,66
"84",2019,"PARTIAL","CV","HAL","CDQ","BSAI",30,5,5,5
"85",2019,"PARTIAL","CV","HAL","IFQ","BSAI",190,17,20,25
"86",2019,"PARTIAL","CV","HAL","IFQ","GOA",1484,50,86,238
"87",2019,"PARTIAL","CV","HAL","OA","BSAI",11,3,3,4
"88",2019,"PARTIAL","CV","HAL","OA","GOA",57,13,13,14
"89",2019,"PARTIAL","CV","NPT","OA","BSAI",246,21,22,31
"90",2019,"PARTIAL","CV","NPT","OA","GOA",358,38,54,85
"91",2019,"PARTIAL","CV","POT","CDQ","BSAI",23,4,4,4
"92",2019,"PARTIAL","CV","POT","IFQ","GOA",118,15,16,17
"93",2019,"PARTIAL","CV","POT","OA","BSAI",368,31,37,57
"94",2019,"PARTIAL","CV","POT","OA","GOA",42,8,8,8
"95",2019,"PARTIAL","CV","PTR","OA","GOA",938,55,89,216
"96",2020,"FULL","CP/MS","HAL","CDQ","BSAI",477,22,25,25
"97",2020,"FULL","CP/MS","HAL","IFQ","GOA",138,4,4,4
"98",2020,"FULL","CP/MS","HAL","OA","BSAI",3841,61,88,91
"99",2020,"FULL","CP/MS","NPT","A80","BSAI",9872,156,206,211
"100",2020,"FULL","CP/MS","NPT","CDQ","BSAI",2021,88,101,101
"101",2020,"FULL","CP/MS","NPT","OA","BSAI",1794,64,71,71
"102",2020,"FULL","CP/MS","NPT","OA","GOA",760,31,33,33
"103",2020,"FULL","CP/MS","NPT","RPP","GOA",352,14,14,14
"104",2020,"FULL","CP/MS","POT","CDQ","BSAI",239,9,9,9
"105",2020,"FULL","CP/MS","POT","IFQ","BSAI",45,4,4,4
"106",2020,"FULL","CP/MS","POT","OA","BSAI",148,10,10,10
"107",2020,"FULL","CP/MS","PTR","A80","BSAI",32,7,7,7
"108",2020,"FULL","CP/MS","PTR","AFA","BSAI",5391,87,113,116
"109",2020,"FULL","CP/MS","PTR","CDQ","BSAI",1300,57,69,70
"110",2020,"FULL","CP/MS","PTR","RPP","GOA",43,4,4,4
"111",2020,"FULL","CV","NPT","OA","BSAI",531,32,32,34
"112",2020,"FULL","CV","NPT","RPP","GOA",334,26,27,35
"113",2020,"FULL","CV","PTR","AFA","BSAI",8462,148,175,199
"114",2020,"FULL","CV","PTR","RPP","GOA",356,33,35,42
"115",2020,"FULL","PLANT"," ","AFA","BSAI",4142,59,71,72
"116",2020,"FULL","PLANT"," ","OA","BSAI",122,10,10,10
"117",2020,"FULL","PLANT"," ","OA","GOA",589,31,33,35
"118",2020,"PARTIAL","CV","HAL","CDQ","BSAI",26,3,3,4
"119",2020,"PARTIAL","CV","HAL","IFQ","BSAI",75,9,9,10
"120",2020,"PARTIAL","CV","HAL","IFQ","GOA",578,40,55,96
"121",2020,"PARTIAL","CV","NPT","OA","BSAI",80,14,14,17
"122",2020,"PARTIAL","CV","NPT","OA","GOA",168,25,31,42
"123",2020,"PARTIAL","CV","POT","IFQ","BSAI",44,4,4,5
"124",2020,"PARTIAL","CV","POT","IFQ","GOA",128,15,18,19
"125",2020,"PARTIAL","CV","POT","OA","BSAI",162,17,19,27
"126",2020,"PARTIAL","CV","PTR","OA","GOA",427,38,47,90
"127",2020,"PARTIAL","PLANT"," ","OA","GOA",176,4,4,5
"128",2021,"FULL","CP/MS","HAL","CDQ","BSAI",363,25,26,26
"129",2021,"FULL","CP/MS","HAL","OA","BSAI",3523,58,71,74
"130",2021,"FULL","CP/MS","NPT","A80","BSAI",9496,158,191,196
"131",2021,"FULL","CP/MS","NPT","CDQ","BSAI",1318,72,76,76
"132",2021,"FULL","CP/MS","NPT","OA","BSAI",1432,56,59,60
"133",2021,"FULL","CP/MS","NPT","OA","GOA",626,22,23,23
"134",2021,"FULL","CP/MS","NPT","RPP","GOA",391,16,16,16
"135",2021,"FULL","CP/MS","POT","CDQ","BSAI",151,6,6,6
"136",2021,"FULL","CP/MS","POT","IFQ","GOA",133,4,4,4
"137",2021,"FULL","CP/MS","POT","OA","BSAI",108,5,5,5
"138",2021,"FULL","CP/MS","PTR","A80","BSAI",10,3,3,3
"139",2021,"FULL","CP/MS","PTR","AFA","BSAI",5425,96,113,117
"140",2021,"FULL","CP/MS","PTR","CDQ","BSAI",1405,59,67,67
"141",2021,"FULL","CP/MS","PTR","RPP","GOA",48,3,3,3
"142",2021,"FULL","CV","NPT","OA","BSAI",423,22,22,25
"143",2021,"FULL","CV","NPT","RPP","GOA",396,38,40,48
"144",2021,"FULL","CV","PTR","AFA","BSAI",4917,112,120,133
"145",2021,"FULL","CV","PTR","RPP","GOA",374,42,43,58
"146",2021,"FULL","PLANT"," ","AFA","BSAI",4311,90,104,107
"147",2021,"FULL","PLANT"," ","OA","BSAI",676,18,18,18
"148",2021,"FULL","PLANT"," ","OA","GOA",1292,47,57,63
"149",2021,"PARTIAL","CV","HAL","IFQ","BSAI",116,9,9,11
"150",2021,"PARTIAL","CV","HAL","IFQ","GOA",951,49,66,158
"151",2021,"PARTIAL","CV","HAL","OA","GOA",34,6,6,7
"152",2021,"PARTIAL","CV","NPT","OA","BSAI",52,7,7,9
"153",2021,"PARTIAL","CV","NPT","OA","GOA",125,20,21,36
"154",2021,"PARTIAL","CV","POT","CDQ","BSAI",10,3,3,3
"155",2021,"PARTIAL","CV","POT","IFQ","BSAI",22,3,3,4
"156",2021,"PARTIAL","CV","POT","IFQ","GOA",567,40,51,77
"157",2021,"PARTIAL","CV","POT","OA","BSAI",128,9,9,15
"158",2021,"PARTIAL","CV","POT","OA","GOA",49,5,5,6
"159",2021,"PARTIAL","CV","PTR","OA","GOA",322,28,30,62
"160",2021,"PARTIAL","PLANT"," ","OA","GOA",440,6,8,10
"161",2022,"FULL","CP/MS","HAL","CDQ","BSAI",348,13,15,15
"162",2022,"FULL","CP/MS","HAL","IFQ","BSAI",44,5,5,5
"163",2022,"FULL","CP/MS","HAL","OA","BSAI",3617,61,71,74
"164",2022,"FULL","CP/MS","HAL","OA","GOA",97,6,6,6
"165",2022,"FULL","CP/MS","NPT","A80","BSAI",9415,167,232,250
"166",2022,"FULL","CP/MS","NPT","CDQ","BSAI",1366,84,95,98
"167",2022,"FULL","CP/MS","NPT","OA","BSAI",1212,68,78,81
"168",2022,"FULL","CP/MS","NPT","OA","GOA",743,32,33,34
"169",2022,"FULL","CP/MS","NPT","RPP","GOA",392,18,18,18
"170",2022,"FULL","CP/MS","POT","CDQ","BSAI",230,10,10,10
"171",2022,"FULL","CP/MS","POT","IFQ","BSAI",90,7,7,7
"172",2022,"FULL","CP/MS","POT","IFQ","GOA",122,4,4,4
"173",2022,"FULL","CP/MS","POT","OA","BSAI",204,9,9,9
"174",2022,"FULL","CP/MS","PTR","AFA","BSAI",3464,66,73,74
"175",2022,"FULL","CP/MS","PTR","CDQ","BSAI",981,53,56,56
"176",2022,"FULL","CP/MS","PTR","RPP","GOA",95,5,5,5
"177",2022,"FULL","CV","NPT","OA","BSAI",171,19,19,20
"178",2022,"FULL","CV","NPT","RPP","GOA",334,26,29,31
"179",2022,"FULL","CV","PTR","AFA","BSAI",2643,65,73,81
"180",2022,"FULL","CV","PTR","RPP","GOA",387,28,28,36
"181",2022,"FULL","PLANT"," ","AFA","BSAI",3322,95,103,105
"182",2022,"FULL","PLANT"," ","OA","BSAI",171,26,26,26
"183",2022,"FULL","PLANT"," ","OA","GOA",1323,42,44,59
"184",2022,"PARTIAL","CV","HAL","CDQ","BSAI",23,3,3,3
"185",2022,"PARTIAL","CV","HAL","IFQ","BSAI",205,17,18,21
"186",2022,"PARTIAL","CV","HAL","IFQ","GOA",999,57,76,179
"187",2022,"PARTIAL","CV","HAL","OA","GOA",63,16,18,18
"188",2022,"PARTIAL","CV","NPT","OA","BSAI",164,19,20,32
"189",2022,"PARTIAL","CV","NPT","OA","GOA",180,28,32,46
"190",2022,"PARTIAL","CV","POT","CDQ","BSAI",19,3,3,3
"191",2022,"PARTIAL","CV","POT","IFQ","BSAI",69,13,13,14
"192",2022,"PARTIAL","CV","POT","IFQ","GOA",925,54,73,134
"193",2022,"PARTIAL","CV","POT","OA","BSAI",212,16,16,20
"194",2022,"PARTIAL","CV","POT","OA","GOA",100,16,17,18
"195",2022,"PARTIAL","CV","PTR","OA","GOA",500,38,45,98
