"","Coverage Type","Vessel Type","Gear Type","Management Program","NMFS Region","Confi Flag","Vessel/Plant Assignments","Deployed Days","Statements (all categories)","Occurrences (all categories)","OLE PRIORITY: INTER-PERSONAL per ASSNMT","OLE PRIORITY: INTER-PERSONAL","OLE PRIORITY: SAFETY AND DUTIES","COAST GUARD","LIMITED ACCESS PROGRAMS","PROTECTED RESOURCE & PROHIBITED SPECIES","ALL OTHER STATEMENT TYPES"
"1","FULL","CP/MS","HAL","CDQ","BSAI",0,31,652,10.9667518702354,57.955954331611,0.032258064516129,1.53374233128834,NA,13.4730728998106,5.88392596285403,56.3290041736926,11.6697551409604
"2","FULL","CP/MS","HAL","IFQ","BSAI",0,3,22,0.672124904798172,1.30578827113481,NA,NA,NA,30.5511320362805,NA,21.6021602160216,7.2007200720072
"3","FULL","CP/MS","HAL","IFQ","GOA",1,2,57,0,0,NA,NA,NA,NA,NA,NA,NA
"4","FULL","CP/MS","HAL","OA","BSAI",0,67,3629,48.4513453817364,291.735469357482,0.164179104477612,3.03113805456048,0.826674014880132,8.7298845397993,9.74079127489514,25.8607662284951,32.2007897995997
"5","FULL","CP/MS","HAL","OA","GOA",0,8,108,1.88275350686083,3.72485877001873,NA,NA,NA,8.01686294328575,3.94712068640899,22.5254494260342,NA
"6","FULL","CP/MS","NPT","A80","BSAI",0,227,9561,273.43917226059,1635.77334466138,0.319953043563381,7.59641678578471,34.087437052635,16.9199923215296,36.3932734539297,23.2596158129845,52.8313667236833
"7","FULL","CP/MS","NPT","CDQ","BSAI",0,90,1289,37.5366664211872,146.708189929143,0.163640378794021,11.4256276892645,27.7816072352645,6.36522093756041,14.6212265856495,7.02653338749316,46.5952922556467
"8","FULL","CP/MS","NPT","OA","BSAI",0,74,1369,46.4366692347588,147.090213905891,0.18817894226586,10.1718347170735,3.0355829727475,15.9221152982068,18.3430123192637,26.4229337406583,33.548066537069
"9","FULL","CP/MS","NPT","OA","GOA",0,30,631,17.3458736459722,55.5077735068079,0.709230769230769,33.7193709618432,4.75435816164818,13.1232440517577,5.19455652089126,26.6864672569902,4.48994838253958
"10","FULL","CP/MS","NPT","RPP","GOA",0,18,401,7.08665389848512,24.4828893442976,0.0244922341696535,1.09940203255303,1.42500890630566,13.6261556221525,7.00200101825737,1.36023577420086,36.5417835400409
"11","FULL","CP/MS","POT","CDQ","BSAI",0,9,205,11.6221052631579,50.4792105263158,NA,NA,45.9268292682927,128.459563543004,6.24390243902439,NA,65.609756097561
"12","FULL","CP/MS","POT","IFQ","BSAI",0,10,181,9.27804126088947,24.2280480514194,0.864516129032258,47.7633220459811,1.98895027624309,43.248802104401,11.6467386822792,2.14397625133999,27.0648297083712
"13","FULL","CP/MS","POT","IFQ","GOA",0,5,117,3.26485249586616,14.3165567679675,0.270967741935484,11.5798180314309,NA,87.5348520497682,NA,9.64711855800965,13.6019444203427
"14","FULL","CP/MS","POT","OA","BSAI",0,7,173,14.8620253164557,74.2541139240506,0.571428571428571,23.121387283237,93.7861271676301,119.034901587766,NA,NA,193.272115314261
"15","FULL","CP/MS","PTR","A80","BSAI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","FULL","CP/MS","PTR","AFA","BSAI",0,74,3463,70.2967906453343,617.631066241733,0.84818788310691,18.1247194195528,1.5292202143496,15.1620185530669,25.7325865374666,39.4330352211135,78.3698685793519
"17","FULL","CP/MS","PTR","CDQ","BSAI",0,54,980,17.7032093546657,147.368933758267,0.467298086112753,25.7490782143762,1.73909224255851,9.68768341911145,31.5184212456666,25.9626520706978,55.7195358262288
"18","FULL","CP/MS","PTR","RPP","GOA",0,5,93,1.15496453900709,11.4375886524823,NA,NA,5.93958013312852,15.9242191500256,NA,NA,101.121024937085
"19","FULL","CV","HAL","IFQ","BSAI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","FULL","CV","NPT","OA","BSAI",0,20,171,7.10422947464104,21.688576162436,0.767632367632368,89.781563465774,6.04960677555959,13.4587488372396,NA,5.84795321637427,11.6959064327485
"21","FULL","CV","NPT","OA","GOA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","FULL","CV","NPT","RPP","GOA",0,34,368,12.0617110539524,29.6182767105181,NA,NA,2.71739130434783,16.9819564649493,8.27410813823857,6.46630568505569,46.0446859903382
"23","FULL","CV","PTR","AFA","BSAI",0,71,2464,29.895770525359,58.311423837564,0.29080778376553,8.37960740558143,2.01522615315719,3.12441312858443,0.811688311688312,1.21753246753247,8.11688311688312
"24","FULL","CV","PTR","OA","GOA",1,2,33,0,0,NA,NA,NA,NA,NA,NA,NA
"25","FULL","CV","PTR","RPP","GOA",0,31,368,10.9382889460476,16.3817232894819,0.032258064516129,2.71739130434783,NA,15.6267391872246,2.59545707915273,9.83804214103127,13.737922705314
"26","FULL","PLANT"," ","AFA","BSAI",0,93,3120,71.6367405626213,317.596685050435,0.506293246483622,15.0914333086464,11.3652401667627,3.50157499519977,15.9770548887124,3.40913418398799,52.4493717677275
"27","FULL","PLANT"," ","OA","BSAI",0,26,179,4.70454798179791,42.7553057546868,0.782906346840773,113.718240323241,18.8894183377888,5.31636438465513,31.8145174511753,1.50946370685663,67.6084525263774
"28","FULL","PLANT"," ","OA","GOA",0,51,1457,36.6587114555808,156.648009194879,1.06978751096398,37.4462340831593,8.34539793907778,0.0847335553352483,2.37253954938695,19.2816110792245,39.9835601115091
"29","PARTIAL","CV","HAL","CDQ","BSAI",0,3,23,0,0,NA,NA,NA,NA,NA,NA,NA
"30","PARTIAL","CV","HAL","IFQ","BSAI",0,19,184,8.93076923076923,91.9307692307692,0.0526315789473684,5.43478260869565,NA,5.43478260869565,194.021739130435,173.913043478261,120.819397993311
"31","PARTIAL","CV","HAL","IFQ","GOA",0,160,932,47.1243647514747,185.301566066783,0.025,4.29184549356223,6.91463996185026,8.63224127551318,30.3481459760616,18.2403433476395,130.39420676381
"32","PARTIAL","CV","HAL","OA","BSAI",1,1,9,0.692307692307692,0.692307692307692,NA,NA,NA,76.9230769230769,NA,NA,NA
"33","PARTIAL","CV","HAL","OA","GOA",0,14,52,7.30769230769231,49.3076923076923,0.0714285714285714,19.2307692307692,19.2307692307692,5.91715976331361,NA,NA,903.846153846154
"34","PARTIAL","CV","NPT","OA","BSAI",0,32,164,8,15,NA,NA,6.09756097560976,12.1951219512195,NA,6.09756097560976,67.0731707317073
"35","PARTIAL","CV","NPT","OA","GOA",0,49,186,11.9642857142857,27.0555555555556,NA,NA,7.4031404676566,NA,NA,54.6594982078853,83.3973374295955
"36","PARTIAL","CV","POT","CDQ","BSAI",0,3,19,1,1,NA,NA,52.6315789473684,NA,NA,NA,NA
"37","PARTIAL","CV","POT","IFQ","BSAI",0,14,85,10,74,NA,NA,11.7647058823529,11.7647058823529,376.470588235294,NA,470.588235294118
"38","PARTIAL","CV","POT","IFQ","GOA",0,124,882,42.944866017756,234.767664702447,0.0161290322580645,2.26757369614512,30.1083396321492,16.9555001487775,60.1083083336854,1.13378684807256,155.602981933514
"39","PARTIAL","CV","POT","OA","BSAI",0,20,216,16,36,0.1,9.25925925925926,4.62962962962963,69.4444444444444,NA,NA,83.3333333333333
"40","PARTIAL","CV","POT","OA","GOA",0,15,73,4,4,NA,NA,27.3972602739726,13.6986301369863,NA,NA,13.6986301369863
"41","PARTIAL","CV","PTR","OA","GOA",0,88,489,33.0357142857143,70.9444444444444,0.0454545454545455,8.1799591002045,5.36404064011426,2.04498977505112,NA,83.5037491479209,45.9879248222806
"42","PARTIAL","PLANT"," ","OA","GOA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","FULL","CP/MS","PTR","OA","GOA",1,2,2,0,0,NA,NA,NA,NA,NA,NA,NA
