"","Coverage Type","Vessel Type","Gear Type","Management Program","NMFS Region","Confi Flag","OLE System","Vessel/Plant Assignments","Deployed Days","Statements (all categories)","Occurrences (all categories)","OLE PRIORITY: INTER-PERSONAL per ASSNMT","OLE PRIORITY: INTER-PERSONAL","OLE PRIORITY: SAFETY AND DUTIES","COAST GUARD","LIMITED ACCESS PROGRAMS","PROTECTED RESOURCE & PROHIBITED SPECIES","ALL OTHER STATEMENT TYPES"
"1","FULL","CP/MS","HAL","CDQ","BSAI",0,"NEW",22,494,6.93819472043775,21.2582464450337,NA,NA,4.31848852901484,29.2546868129826,7.43542070058088,NA,2.02429149797571
"2","FULL","CP/MS","HAL","CDQ","BSAI",0,"OLD",7,129,1.05171907756813,11.7413417190776,0.0539083557951482,2.92525961679099,43.8788942518648,1.12768758227293,35.1031154014919,1.1701038467164,6.81309216192937
"3","FULL","CP/MS","HAL","IFQ","BSAI",1,"OLD",1,1,0,0,NA,NA,NA,NA,NA,NA,NA
"4","FULL","CP/MS","HAL","IFQ","GOA",1,"OLD",1,19,0,0,NA,NA,NA,NA,NA,NA,NA
"5","FULL","CP/MS","HAL","OA","BSAI",0,"NEW",40,2029,35.1494315421885,320.796046484259,NA,NA,0.492853622474125,62.9605333110517,60.4809221600798,6.89995071463775,27.2712337769016
"6","FULL","CP/MS","HAL","OA","BSAI",0,"OLD",33,1598,27.6535440803266,210.784974070396,0.230989136649514,4.77011358537795,43.3915035303563,9.29569981344605,54.1124518856117,6.49272365034247,13.8429981921847
"7","FULL","CP/MS","HAL","OA","GOA",0,"NEW",4,73,1.53333333333333,2.11111111111111,NA,NA,11.8721461187215,3.34855403348554,NA,13.6986301369863,NA
"8","FULL","CP/MS","HAL","OA","GOA",0,"OLD",3,44,0.294736842105263,1.47368421052632,NA,NA,NA,NA,NA,33.4928229665072,NA
"9","FULL","CP/MS","NPT","A80","BSAI",0,"NEW",93,3821,96.9490672028509,1448.29586327282,0.313334835450942,7.62631240432808,30.2885255536119,103.157350404707,128.358962581843,40.7065590904211,68.8981086703541
"10","FULL","CP/MS","NPT","A80","BSAI",0,"OLD",76,4837,128.806384715954,655.327711556129,0.862879038799637,13.5577438389027,4.50607460043275,20.072273079948,41.9006106570478,9.59064441978721,45.8549175254711
"11","FULL","CP/MS","NPT","CDQ","BSAI",0,"NEW",49,609,11.4951528142633,101.635654331477,0.0465384397061416,3.74447216026426,22.4087517644686,40.2248652472647,84.9363910305278,8.35619239171223,7.21874338519963
"12","FULL","CP/MS","NPT","CDQ","BSAI",0,"OLD",36,648,15.8243843169309,52.7723497930846,0.0201895346410867,1.12164081339371,1.60206311034858,15.1585213355861,16.503102859285,39.1158823940011,7.93760089646678
"13","FULL","CP/MS","NPT","OA","BSAI",0,"NEW",39,685,10.1090415935906,68.348767935131,0.00807217473884141,0.459583671262503,13.3275707516968,28.6101806624774,39.8301096658813,8.29030106786542,9.26147744378161
"14","FULL","CP/MS","NPT","OA","BSAI",0,"OLD",35,831,30.3455221099421,154.31104162157,0.086688215602398,3.65112821430076,7.41995218074718,19.0012753209218,21.9707835758319,125.404185098488,8.24586649006016
"15","FULL","CP/MS","NPT","OA","GOA",0,"NEW",16,239,3.87196548179036,32.6799842881114,0.0933950589649792,6.2523888846848,52.2645525948763,5.49824157935914,69.8238293705821,2.89732350401806,NA
"16","FULL","CP/MS","NPT","OA","GOA",0,"OLD",7,144,1.3925548256365,1.81190966434618,0.0898617511520737,4.36827956989247,3.69385342789598,3.69385342789598,0.826719576719577,NA,NA
"17","FULL","CP/MS","NPT","RPP","GOA",0,"NEW",10,357,5.57477290750487,48.0397301724621,0.0770340999206979,2.15781792494952,NA,6.79766856237444,125.609584023774,NA,NA
"18","FULL","CP/MS","NPT","RPP","GOA",0,"OLD",6,53,1.16917992150382,1.16917992150382,NA,NA,8.8317944600562,10.2972643263321,1.46546986627587,NA,1.46546986627587
"19","FULL","CP/MS","POT","CDQ","BSAI",0,"NEW",6,133,3.54646464646465,129.368686868687,NA,NA,NA,15.7211209842789,917.293233082707,NA,39.6825396825397
"20","FULL","CP/MS","POT","CDQ","BSAI",0,"OLD",4,113,2.63296296296296,5.51296296296296,NA,NA,8.49557522123894,35.2933464437889,3.68731563421829,1.31104555883317,NA
"21","FULL","CP/MS","POT","IFQ","BSAI",0,"NEW",6,153,1.94945887445887,5.58279220779221,NA,NA,NA,3.80909939733469,3.99419026870007,NA,28.6855482933914
"22","FULL","CP/MS","POT","IFQ","BSAI",1,"OLD",1,13,0.180555555555556,0.180555555555556,NA,NA,NA,NA,13.8888888888889,NA,NA
"23","FULL","CP/MS","POT","IFQ","GOA",1,"NEW",2,85,0.25974025974026,0.25974025974026,NA,NA,NA,3.05576776165011,NA,NA,NA
"24","FULL","CP/MS","POT","IFQ","GOA",1,"OLD",1,29,0.402777777777778,0.402777777777778,NA,NA,NA,NA,13.8888888888889,NA,NA
"25","FULL","CP/MS","POT","OA","BSAI",0,"NEW",4,104,4.62337662337662,6.62337662337662,NA,NA,19.2307692307692,44.4555444555445,NA,NA,NA
"26","FULL","CP/MS","POT","OA","BSAI",0,"OLD",3,52,1.7837037037037,1.9037037037037,NA,NA,0.769230769230769,19.4586894586895,NA,16.3817663817664,NA
"27","FULL","CP/MS","PTR","AFA","BSAI",0,"NEW",40,2123,41.3494548213621,974.874208431788,0.51824239304507,9.76434089580913,NA,35.5344116858213,254.804292310752,108.274167100832,50.8193063448869
"28","FULL","CP/MS","PTR","AFA","BSAI",0,"OLD",37,1998,47.5183864293789,473.977164574988,0.677539608574091,12.5470297884091,0.656291255521602,14.0375244860018,14.1456262825181,181.408844800712,14.4304914824273
"29","FULL","CP/MS","PTR","CDQ","BSAI",0,"NEW",23,504,8.65054517863786,161.125791568212,0.142187142530313,6.488698964677,NA,58.6516745853201,8.03668139736983,162.964173105027,83.5528028369149
"30","FULL","CP/MS","PTR","CDQ","BSAI",0,"OLD",25,587,13.4816135706211,276.022835425012,1.87724137931034,79.9506549961816,1.17330506212579,13.5485963832512,42.1414628407647,271.797492484119,61.6147836765081
"31","FULL","CP/MS","PTR","OA","GOA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","FULL","CP/MS","PTR","RPP","GOA",1,"NEW",2,64,0,0,NA,NA,NA,NA,NA,NA,NA
"33","FULL","CP/MS","PTR","RPP","GOA",1,"OLD",1,13,0.378640776699029,0.378640776699029,NA,NA,NA,9.70873786407767,9.70873786407767,NA,9.70873786407767
"34","FULL","CV","NPT","OA","BSAI",0,"OLD",15,184,2.66870944484499,3.6113914924297,0.112328767123288,9.15723645026802,NA,6.50743707093822,NA,NA,3.96245415504216
"35","FULL","CV","NPT","RPP","GOA",0,"NEW",12,85,1,1,NA,NA,NA,NA,NA,11.7647058823529,NA
"36","FULL","CV","NPT","RPP","GOA",0,"OLD",22,189,2.03030303030303,2.03030303030303,NA,NA,NA,10.7423440756774,NA,NA,NA
"37","FULL","CV","PTR","AFA","BSAI",0,"NEW",39,1566,12,130,NA,NA,NA,1.27713920817369,12.7713920817369,1.27713920817369,67.6883780332056
"38","FULL","CV","PTR","AFA","BSAI",0,"OLD",35,1245,24.331290555155,35.3886085075703,0.294716242661448,8.28519557682786,0.803212851405622,6.26717395899387,0.803212851405622,2.40963855421687,9.85615135379297
"39","FULL","CV","PTR","OA","GOA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","FULL","CV","PTR","RPP","GOA",0,"NEW",15,108,1,4,NA,NA,37.037037037037,NA,NA,NA,NA
"41","FULL","CV","PTR","RPP","GOA",0,"OLD",24,281,1.96969696969697,1.96969696969697,NA,NA,NA,3.45087889571875,NA,NA,3.55871886120996
"42","FULL","PLANT"," ","AFA","BSAI",0,"NEW",64,1776,27.456426842585,1309.42718735499,0.159582934008762,5.75073636067612,84.5284254978391,NA,294.850470678784,143.778459165687,208.381991267166
"43","FULL","PLANT"," ","AFA","BSAI",0,"OLD",45,1733,37.8413921829016,131.659348452076,0.107544581618656,2.79255982275794,4.55420000853363,3.84828882308882,12.9379772821399,5.56142008445589,46.2774803795292
"44","FULL","PLANT"," ","OA","BSAI",0,"NEW",5,28,1.00212212486309,90.4862404162103,0.200492880613363,35.802300109529,500,NA,1513.82803943045,20.0892857142857,1161.93181818182
"45","FULL","PLANT"," ","OA","BSAI",0,"OLD",18,146,2.61732480154151,5.58762841672437,0.00342935528120713,0.422797226450194,5.72337031582396,5.59860799109488,17.4896258222715,2.47985612080782,6.55717003536245
"46","FULL","PLANT"," ","OA","GOA",0,"NEW",37,701,21.5414510325519,659.086572228799,0.102276427577632,5.39832784646562,21.2232757715233,NA,79.8265035241472,430.937170501768,402.823812554098
"47","FULL","PLANT"," ","OA","GOA",0,"OLD",23,648,6.54128301555685,10.7530231311999,0.00429414922168545,0.152415790275873,0.419690307254516,0.792467134085207,0.0385802469135802,4.62962962962963,10.5613883906065
