"","OLD_OLE_CATEGORY","STATEMENT_TYPE","FREQ"
"1","ALL OTHER STATEMENT TYPES","Contractor Problems",2
"2","ALL OTHER STATEMENT TYPES","Failure to Notify",21
"3","ALL OTHER STATEMENT TYPES","IR/IU",8
"4","ALL OTHER STATEMENT TYPES","Inadequate Accommodations",16
"5","ALL OTHER STATEMENT TYPES","Miscellaneous Violations",8
"6","ALL OTHER STATEMENT TYPES","Reasonable Assistance",18
"7","ALL OTHER STATEMENT TYPES","Record Keeping and Reporting",57
"8","ALL OTHER STATEMENT TYPES","Restricted Access",3
"9","COAST GUARD","MARPOL/Oil Spill",20
"10","COAST GUARD","Safety-USCG-Equipment",12
"11","COAST GUARD","Safety-USCG-Fail to Conduct Drills",21
"12","COAST GUARD","Safety-USCG-Marine Casualty",73
"13","LIMITED ACCESS PROGRAMS","AFA",21
"14","LIMITED ACCESS PROGRAMS","Amendment 80",27
"15","LIMITED ACCESS PROGRAMS","Catcher Processor Longline",4
"16","LIMITED ACCESS PROGRAMS","IFQ Retention",3
"17","OLE PRIORITY: INTER-PERSONAL","Disruptive/Bothersome Behavior - Conflict Resolved",15
"18","OLE PRIORITY: INTER-PERSONAL","Harassment - Sexual",7
"19","OLE PRIORITY: INTER-PERSONAL","Harassment-Assault",1
"20","OLE PRIORITY: INTER-PERSONAL","Intimidation, coercion, hostile work environment",14
"21","OLE PRIORITY: SAFETY AND DUTIES","Interference/Sample Biasing",10
"22","OLE PRIORITY: SAFETY AND DUTIES","Safety-NMFS",20
"23","PROTECTED RESOURCE & PROHIBITED SPECIES","Amendment 91 salmon",14
"24","PROTECTED RESOURCE & PROHIBITED SPECIES","Gulf of Alaska Salmon",8
"25","PROTECTED RESOURCE & PROHIBITED SPECIES","Halibut Deck Sorting",12
"26","PROTECTED RESOURCE & PROHIBITED SPECIES","Marine Mammal-Feeding",2
"27","PROTECTED RESOURCE & PROHIBITED SPECIES","Marine Mammal-Harassment",1
"28","PROTECTED RESOURCE & PROHIBITED SPECIES","Prohibited Species - Mishandling",25
"29","PROTECTED RESOURCE & PROHIBITED SPECIES","Prohibited Species - Retaining",1
"30","PROTECTED RESOURCE & PROHIBITED SPECIES","Sample Bias-Marine Mammals",1
"31","PROTECTED RESOURCE & PROHIBITED SPECIES","Seabird-Harassment",2
