OLE_CATEGORY,STATEMENT_TYPE,TOTAL_STATEMENTS,N_STATEMENTS_YOY_CHG,TOTAL_OCCURRRENCES,N_INCIDENTS_YOY_CHG,OCCURRENCES_PER_VESSEL_PLANT_ASSIGNMENT,INCI_RATE_ASSMT_YOY_CHG,OCCURRRENCES_PER_1000_DAYS,INCI_RATE_1000_YOY_CHG,PROPORT_FACTOR_GRPS_WITH_INCIS,PROPORT_WITH_INCIS_YOY_CHG,MEAN_INCIS_PER,MEDIAN_INCIS_PER,MIN_INCIS_PER,MAX_INCIS_PER,QUANT_25_INCIS_PER,QUANT_75_INCIS_PER
OLE PRIORITY: INTER-PERSONAL,Disruptive/Bothersome Behavior - Conflict Resolved,31,0.205128205,78,-0.026315789,0.075875486,0.048561335,2.184506806,-0.172016645,0.514285714,-0.034101382,2.516129032,1,1,20,1,1.5
OLE PRIORITY: INTER-PERSONAL,Harassment-Assault,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.09,NA,NA,NA,NA,NA,NA
OLE PRIORITY: INTER-PERSONAL,Harassment - Sexual,18,-0.5,55,-1.5,0.053501946,-1.317607004,1.540357363,-1.85491234,0.285714286,-0.004608295,3.055555556,1,1,30,1,2
OLE PRIORITY: INTER-PERSONAL,"Intimidation, coercion, hostile work environment",36,0.2,87,0.51396648,0.08463035,0.549426124,2.436565283,0.444966763,0.6,0.051612903,2.388888889,2,0,10,1,3
OLE PRIORITY: SAFETY AND DUTIES,Interference/Sample Biasing,20,0.285714286,101,0.064814815,0.098249027,0.133043306,2.828656248,-0.06794869,0.542857143,0.09124424,5,1,0,58,1,3.25
OLE PRIORITY: SAFETY AND DUTIES,Safety-NMFS,63,-0.431818182,256,0.03030303,0.249027237,0.101049405,7.169663362,-0.107359938,0.6,0.019354839,4.047619048,1,0,60,1,3
COAST GUARD,MARPOL/Oil Spill,37,0.051282051,107,-0.528571429,0.104085603,-0.41705114,2.996695233,-0.745574973,0.571428571,0.087557604,2.891891892,1,1,39,1,2
COAST GUARD,Safety-USCG-Equipment,7,-1.333333333,7,-1.333333333,0.006809339,-1.16309987,0.196045483,-1.66458485,0.142857143,0.046082949,1,1,1,1,1,1
COAST GUARD,Safety-USCG-Fail to Conduct Drills,37,0.525641026,61,0.672043011,0.059338521,0.695969834,1.708396348,0.625484618,0.342857143,-0.237788018,1.648648649,1,1,5,1,2
COAST GUARD,Safety-USCG-Marine Casualty,125,0.067164179,208,-0.009708738,0.20233463,0.063956783,5.825351482,-0.153051974,0.685714286,-0.120737327,1.664,1,1,6,1,2
