OLE CATEGORY,AFFIDAVIT TYPE,NUM CATEGS WITH 0 INCIDS
ALL OTHER STATEMENT TYPES,Contractor Problems,21
ALL OTHER STATEMENT TYPES,Failure to Notify,27
ALL OTHER STATEMENT TYPES,Inadequate Accomodations,26
ALL OTHER STATEMENT TYPES,IR/IU,31
ALL OTHER STATEMENT TYPES,Miscellaneous Violations,27
ALL OTHER STATEMENT TYPES,Reasonable Assistance,18
ALL OTHER STATEMENT TYPES,Record Keeping and Reporting,7
ALL OTHER STATEMENT TYPES,Restricted Access,25
COAST GUARD,MARPOL/Oil Spill,16
COAST GUARD,Safety-USCG-Equipment,32
COAST GUARD,Safety-USCG-Fail to Conduct Drills,24
COAST GUARD,Safety-USCG-Marine Casualty,12
LIMITED ACCESS PROGRAMS,AFA,28
LIMITED ACCESS PROGRAMS,Amendment 80,30
LIMITED ACCESS PROGRAMS,Catcher Processer Longline,34
LIMITED ACCESS PROGRAMS,IFQ Retention,31
LIMITED ACCESS PROGRAMS,Rockfish Program,34
OLE PRIORITY: INTER-PERSONAL,Disruptive/Bothersome Behavior - Conflict Resolved,18
OLE PRIORITY: INTER-PERSONAL,Harassment - Sexual,27
OLE PRIORITY: INTER-PERSONAL,"Intimidation, coercion, hostile work environment",16
OLE PRIORITY: SAFETY AND DUTIES,Interference/Sample Biasing,17
OLE PRIORITY: SAFETY AND DUTIES,Safety-NMFS,16
PROTECTED RESOURCE & PROHIBITED SPECIES,Amendment 91 salmon,30
,Gulf of Alaska Salmon,32
,Halibut Deck Sorting,32
,Marine Mammal-Feeding,28
,Marine Mammal-Harassment,31
,Prohibited Species - Mishandling,17
,Prohibited Species - Retaining,34
,Sample Bias-Marine Mammals,34
,Seabird-Avoidance Measures,35
,Seabird-Harassment,34
