"","CALENDAR_YEAR","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","CONFI_FLAG","OLE PRIORITY: INTER-PERSONAL","OLE PRIORITY: SAFETY AND DUTIES","COAST GUARD","LIMITED ACCESS PROGRAMS","PROTECTED RESOURCE & PROHIBITED SPECIES","ALL OTHER STATEMENT TYPES","TOTAL_DAYS","TOTAL_CRUISES","TOTAL_OBSERVERS","DISTINCT_OBSERVER_ASSIGNMENTS","TOTAL_STATEMENTS","TOTAL_INCIDENTS","FACTOR_GROUP"
"1",2020,"FULL","CP/MS","HAL","CDQ","BSAI",0,NA,2.44186046511628,9.2262128032008,59.0253780376311,2.44832041343669,12.85283515216,516,26,22,26,6.36467197612359,44.3732171457171,"FULLCP/MSHALCDQBSAI"
"2",2020,"FULL","CP/MS","HAL","IFQ","BSAI",1,NA,NA,11.6598079561043,166.666666666667,NA,NA,9,2,2,2,0.160493827160494,1.60493827160494,"FULLCP/MSHALIFQBSAI"
"3",2020,"FULL","CP/MS","HAL","IFQ","GOA",0,NA,3.48702053467648,10.3118228650968,128.089887640449,NA,13.9480821387059,89,3,3,3,2.27100893997446,13.8694763729246,"FULLCP/MSHALIFQGOA"
"4",2020,"FULL","CP/MS","HAL","OA","BSAI",0,5.86756077116513,19.6785848483973,7.3251141902626,22.2528373659073,5.51457576604266,20.7115277315285,3579,71,54,73,62.2038252567415,291.152368209753,"FULLCP/MSHALOABSAI"
"5",2020,"FULL","CP/MS","NPT","A80","BSAI",0,8.27288871113765,2.57612293584648,12.0684205164731,12.7977330668024,34.9492330217524,19.1394002385952,9909,165,136,167,217.395111844658,889.865839243426,"FULLCP/MSNPTA80BSAI"
"6",2020,"FULL","CP/MS","NPT","CDQ","BSAI",0,3.63918253232607,1.42499570421272,8.86401625884038,25.8082210480876,4.72597723708859,5.93494129605798,1641,75,70,75,24.4804809027138,82.7020252197225,"FULLCP/MSNPTCDQBSAI"
"7",2020,"FULL","CP/MS","NPT","OA","BSAI",0,1.66342981863465,1.39833145044494,7.56329836670202,22.7126542129158,7.38810212651696,5.82150848005154,1727,67,63,67,21.4503621951802,80.3872293342442,"FULLCP/MSNPTOABSAI"
"8",2020,"FULL","CP/MS","NPT","OA","GOA",0,7.22009937726133,1.95139442521141,5.09356852038089,7.43247382862782,5.19843927466081,160.525279166102,635,26,25,26,10.4034203982418,119.012496666075,"FULLCP/MSNPTOAGOA"
"9",2020,"FULL","CP/MS","NPT","RPP","GOA",0,1.9818027481564,4.47819366215751,11.7919726282105,4.98109896583226,2.30542734362566,2.07048984468339,300,11,11,11,5.28072121476745,8.28269555779971,"FULLCP/MSNPTRPPGOA"
"10",2020,"FULL","CP/MS","POT","CDQ","BSAI",0,NA,NA,22.3463687150838,NA,NA,NA,179,7,7,7,2,4,"FULLCP/MSPOTCDQBSAI"
"11",2020,"FULL","CP/MS","POT","IFQ","BSAI",1,NA,NA,NA,NA,NA,NA,26,2,2,2,0,0,"FULLCP/MSPOTIFQBSAI"
"12",2020,"FULL","CP/MS","POT","IFQ","GOA",1,NA,NA,NA,NA,NA,NA,49,1,1,1,0,0,"FULLCP/MSPOTIFQGOA"
"13",2020,"FULL","CP/MS","POT","OA","BSAI",0,NA,NA,6.41025641025641,NA,NA,243.589743589744,156,12,12,12,2,39,"FULLCP/MSPOTOABSAI"
"14",2020,"FULL","CP/MS","PTR","A80","BSAI",0,NA,NA,2.55102040816327,NA,6.45827951433738,NA,28,5,5,5,0.180831826401447,0.252260397830018,"FULLCP/MSPTRA80BSAI"
"15",2020,"FULL","CP/MS","PTR","AFA","BSAI",0,7.14893376747063,0.703605980650836,18.3688032091813,11.4808552068083,23.3270635925567,10.6354465606801,5685,91,74,94,106.752626733757,407.413866784122,"FULLCP/MSPTRAFABSAI"
"16",2020,"FULL","CP/MS","PTR","CDQ","BSAI",0,4.63096251415112,NA,13.5275701061941,1.26098918375441,22.1308401138494,1.84813277679067,1373,56,50,56,19.247373266243,59.5861332158776,"FULLCP/MSPTRCDQBSAI"
"17",2020,"FULL","CP/MS","PTR","RPP","GOA",0,NA,3.34799767095814,23.4857993142266,9.68946108559229,NA,NA,41,4,4,4,0.809071618037135,1.49745358090186,"FULLCP/MSPTRRPPGOA"
"18",2020,"FULL","CV","HAL","IFQ","BSAI",1,NA,NA,NA,NA,NA,NA,23,1,1,1,0,0,"FULLCVHALIFQBSAI"
"19",2020,"FULL","CV","NPT","OA","BSAI",0,11.0815838426787,3.47737168491885,6.70327031411127,NA,32.0380522855308,7.29518574560726,530,31,31,33,8.91275060122951,32.1155958526089,"FULLCVNPTOABSAI"
"20",2020,"FULL","CV","NPT","OA","GOA",1,NA,NA,NA,NA,NA,NA,2,1,1,1,0,0,"FULLCVNPTOAGOA"
"21",2020,"FULL","CV","NPT","RPP","GOA",0,16.1536614645858,1.19047619047619,7.55760368663594,NA,2.28571428571429,22.8192733894821,350,32,30,40,11.8782727024188,17.502355155913,"FULLCVNPTRPPGOA"
"22",2020,"FULL","CV","PTR","AFA","BSAI",0,6.82486658940792,7.81687278995859,11.8035006847766,0.219707788641107,10.1087369316345,46.8124301389463,9103,163,146,189,145.08724939877,760.884404147391,"FULLCVPTRAFABSAI"
"23",2020,"FULL","CV","PTR","OA","BSAI",1,NA,NA,NA,NA,NA,NA,19,1,1,1,0,0,"FULLCVPTROABSAI"
"24",2020,"FULL","CV","PTR","RPP","GOA",0,2.4812030075188,14.6929824561403,3.56536502546689,NA,0.526315789473684,39.3537652217618,380,36,31,47,12.7183659530434,23.0354599701374,"FULLCVPTRRPPGOA"
"25",2020,"FULL","PLANT"," ","AFA","BSAI",0,3.88017623646217,4.16659639624693,3.36935525989175,1.52472228272707,4.01311551335465,14.8163382691266,4591,66,56,67,65.8022341268077,145.857465470302,"FULLPLANT AFABSAI"
"26",2020,"FULL","PLANT"," ","OA","BSAI",0,1.67813391508642,1.6271186440678,1.50355385456534,NA,NA,7.26392251815981,118,10,10,10,0.811300907970981,1.42458201396176,"FULLPLANT OABSAI"
"27",2020,"FULL","PLANT"," ","OA","GOA",0,12.9271659957906,160.799006993918,1.59278899646856,NA,184.206807856693,261.318880175644,850,41,39,43,44.3864649652214,527.717952515737,"FULLPLANT OAGOA"
"28",2020,"PARTIAL","CV","HAL","CDQ","BSAI",0,NA,NA,NA,NA,NA,NA,26,3,3,4,0,0,"PARTIALCVHALCDQBSAI"
"29",2020,"PARTIAL","CV","HAL","IFQ","BSAI",0,NA,6.80272108843537,47.6190476190476,6.80272108843537,NA,5.83090379008746,49,4,4,6,2.14285714285714,3.28571428571429,"PARTIALCVHALIFQBSAI"
"30",2020,"PARTIAL","CV","HAL","IFQ","GOA",0,5.7649667405765,3.69549150036955,14.7819660014782,1.47819660014782,113.082039911308,82.7367754197023,451,34,28,72,18.0571428571429,99.9142857142857,"PARTIALCVHALIFQGOA"
"31",2020,"PARTIAL","CV","NPT","OA","BSAI",0,51.2820512820513,12.8205128205128,NA,NA,NA,64.1025641025641,78,13,13,16,5,10,"PARTIALCVNPTOABSAI"
"32",2020,"PARTIAL","CV","NPT","OA","GOA",0,6.13496932515337,NA,12.2699386503067,NA,57.9754601226994,56.0169891458235,163,24,21,41,10.3807692307692,21.5807692307692,"PARTIALCVNPTOAGOA"
"33",2020,"PARTIAL","CV","NPT","RPP","GOA",1,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,"PARTIALCVNPTRPPGOA"
"34",2020,"PARTIAL","CV","POT","CDQ","BSAI",1,NA,NA,NA,285.714285714286,NA,71.4285714285714,14,2,2,2,2,5,"PARTIALCVPOTCDQBSAI"
"35",2020,"PARTIAL","CV","POT","IFQ","BSAI",0,NA,NA,22.7272727272727,613.636363636364,68.1818181818182,431.818181818182,44,4,4,5,7,50,"PARTIALCVPOTIFQBSAI"
"36",2020,"PARTIAL","CV","POT","IFQ","GOA",0,26.1904761904762,130.952380952381,NA,11.9047619047619,NA,186.904761904762,168,18,17,24,12.8,59.8,"PARTIALCVPOTIFQGOA"
"37",2020,"PARTIAL","CV","POT","OA","BSAI",0,NA,NA,23.8095238095238,NA,NA,71.4285714285714,126,16,15,22,6,12,"PARTIALCVPOTOABSAI"
"38",2020,"PARTIAL","CV","POT","OA","GOA",1,NA,NA,125,NA,NA,1125,8,2,2,2,2,10,"PARTIALCVPOTOAGOA"
"39",2020,"PARTIAL","CV","PTR","OA","GOA",0,5.12175673188984,10.9489051094891,7.2992700729927,NA,20.2554744525547,61.7812200680384,274,27,25,63,18.0225921137686,28.8814156431803,"PARTIALCVPTROAGOA"
"40",2020,"PARTIAL","PLANT"," ","OA","GOA",0,NA,NA,NA,NA,21.2765957446809,42.5531914893617,282,5,5,6,11,18,"PARTIALPLANT OAGOA"
"41",2021,"FULL","CP/MS","HAL","CDQ","BSAI",0,2.95355773029709,0.30768047382793,3.32333553665779,15.9544511045082,5.30312672351618,4.42792582305435,486,23,22,23,4.5484005519089,15.6832576124447,"FULLCP/MSHALCDQBSAI"
"42",2021,"FULL","CP/MS","HAL","IFQ","BSAI",0,NA,NA,13.7280137280137,NA,3.20659642693541,187.633153734849,37,3,3,3,0.999192897497982,7.56900726392252,"FULLCP/MSHALIFQBSAI"
"43",2021,"FULL","CP/MS","HAL","IFQ","GOA",1,14.4955178333015,7.24775891665077,21.7432767499523,362.387945832539,NA,21.7432767499523,49,2,2,2,3.19626168224299,20.9532710280374,"FULLCP/MSHALIFQGOA"
"44",2021,"FULL","CP/MS","HAL","OA","BSAI",0,0.667731569767317,0.178367699965336,5.88700360568843,22.1422857102681,19.9150292922487,57.1011416671572,2777,49,44,51,33.3295591733434,294.060860856729,"FULLCP/MSHALOABSAI"
"45",2021,"FULL","CP/MS","HAL","OA","GOA",0,NA,NA,5.38712613376016,NA,NA,14.7710510623607,86,4,4,4,0.926585695006748,1.7336032388664,"FULLCP/MSHALOAGOA"
"46",2021,"FULL","CP/MS","NPT","A80","BSAI",0,5.15831130277718,8.70317950929283,12.1310845061464,17.3674989783253,36.243772911816,10.8039811200486,9478,161,132,167,193.434470319024,856.885396896634,"FULLCP/MSNPTA80BSAI"
"47",2021,"FULL","CP/MS","NPT","CDQ","BSAI",0,6.73768121227832,1.02876747457049,12.2990928642409,17.4932574460498,19.2877740436052,10.7684345724137,1339,71,65,71,26.2312317065764,90.5364951940191,"FULLCP/MSNPTCDQBSAI"
"48",2021,"FULL","CP/MS","NPT","OA","BSAI",0,7.28733811038354,1.58953093340353,23.7574617414027,9.95288529864886,11.6987680070938,3.83483073986942,1483,54,52,56,37.9813496807523,86.1931683940792,"FULLCP/MSNPTOABSAI"
"49",2021,"FULL","CP/MS","NPT","OA","GOA",0,2.13913751912893,0.51524259338772,2.31704906168482,3.62639117395965,14.8235895609939,15.2199539404348,685,22,22,22,8.04739787512331,26.469334236969,"FULLCP/MSNPTOAGOA"
"50",2021,"FULL","CP/MS","NPT","RPP","GOA",0,7.89794059954959,1.07222635889799,1.64805568791564,27.4399839487504,30.6069457968192,3.92900267742445,395,16,16,16,7.95592792164231,28.6746912523961,"FULLCP/MSNPTRPPGOA"
"51",2021,"FULL","CP/MS","POT","CDQ","BSAI",0,71.7703349282297,83.5991493886231,13.0879431433448,NA,NA,86.1244019138756,209,6,6,6,5.91130604288499,53.2076023391813,"FULLCP/MSPOTCDQBSAI"
"52",2021,"FULL","CP/MS","POT","IFQ","BSAI",1,NA,NA,NA,NA,NA,NA,42,2,2,2,0,0,"FULLCP/MSPOTIFQBSAI"
"53",2021,"FULL","CP/MS","POT","IFQ","GOA",0,NA,NA,NA,NA,NA,NA,126,3,3,3,0,0,"FULLCP/MSPOTIFQGOA"
"54",2021,"FULL","CP/MS","POT","OA","BSAI",0,NA,31.4429012345679,8.78208252111761,NA,NA,NA,144,7,7,7,2.08869395711501,5.79239766081871,"FULLCP/MSPOTOABSAI"
"55",2021,"FULL","CP/MS","PTR","A80","BSAI",0,NA,NA,8.26193390452876,41.5952672378621,6.2015503875969,7.75193798449612,10,3,3,3,0.227254181966544,0.638106895144839,"FULLCP/MSPTRA80BSAI"
"56",2021,"FULL","CP/MS","PTR","AFA","BSAI",0,8.7976281143023,11.3824930308342,19.6522031078007,1.45134994720746,118.3323120213,59.1440994909506,4869,86,77,88,97.5699363085147,1065.14285733365,"FULLCP/MSPTRAFABSAI"
"57",2021,"FULL","CP/MS","PTR","CDQ","BSAI",0,10.5737740654314,14.9226035605367,9.89029965310702,3.15933904180471,7.90359258497081,24.9215900229409,1245,51,46,51,19.4300636914853,88.8571426663455,"FULLCP/MSPTRCDQBSAI"
