"","CALENDAR_YEAR","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","ALL OTHER STATEMENT TYPES","COAST GUARD","LIMITED ACCESS PROGRAMS","OLE PRIORITY: INTER-PERSONAL","OLE PRIORITY: SAFETY AND DUTIES","PROTECTED RESOURCE & PROHIBITED SPECIES","TOTAL_DAYS","TOTAL_CRUISES","TOTAL_OBSERVERS","DISTINCT_OBSERVER_ASSIGNMENTS","TOTAL_STATEMENTS","TOTAL_INCIDENTS","FACTOR_GROUP"
"1",2020,"FULL","CP/MS","HAL","CDQ","BSAI",0.255079343789021,0.183104838709677,1.17142673336222,NA,0.0484615384615385,0.0485897435897436,516,26,22,26,6.36467197612359,44.3732171457171,"FULLCP/MSHALCDQBSAI"
"2",2020,"FULL","CP/MS","HAL","IFQ","BSAI",NA,0.0524691358024691,0.75,NA,NA,NA,9,2,2,2,0.160493827160494,1.60493827160494,"FULLCP/MSHALIFQBSAI"
"3",2020,"FULL","CP/MS","HAL","IFQ","GOA",0.413793103448276,0.305917411664538,3.8,NA,0.103448275862069,NA,89,3,3,3,2.27100893997446,13.8694763729246,"FULLCP/MSHALIFQGOA"
"4",2020,"FULL","CP/MS","HAL","OA","BSAI",1.01543229796083,0.359131283382874,1.09099869770661,0.287671232876712,0.964789796882381,0.270365296803653,3579,71,54,73,62.2038252567415,291.152368209753,"FULLCP/MSHALOABSAI"
"5",2020,"FULL","CP/MS","NPT","A80","BSAI",1.13564261655233,0.716083705974441,0.759357706340989,0.490874576279419,0.152855102822172,2.07372425157212,9909,165,136,167,217.395111844658,889.865839243426,"FULLCP/MSNPTA80BSAI"
"6",2020,"FULL","CP/MS","NPT","CDQ","BSAI",0.129856515557749,0.193944675743427,0.564683876532156,0.0796253138072945,0.0311789060081743,0.103404381947498,1641,75,70,75,24.4804809027138,82.7020252197225,"FULLCP/MSNPTCDQBSAI"
"7",2020,"FULL","CP/MS","NPT","OA","BSAI",0.150055897687299,0.194952481780513,0.585444086950829,0.0428767656236125,0.0360435584316181,0.190436602574549,1727,67,63,67,21.4503621951802,80.3872293342442,"FULLCP/MSNPTOABSAI"
"8",2020,"FULL","CP/MS","NPT","OA","GOA",3.92052124117211,0.124400615786226,0.181523880045333,0.176337042483113,0.0476590561542018,0.126961882284985,635,26,25,26,10.4034203982418,119.012496666075,"FULLCP/MSNPTOAGOA"
"9",2020,"FULL","CP/MS","NPT","RPP","GOA",0.0564679048550016,0.321599253496649,0.135848153613607,0.0540491658588109,0.122132554422477,0.0628752911897906,300,11,11,11,5.28072121476745,8.28269555779971,"FULLCP/MSNPTRPPGOA"
"10",2020,"FULL","CP/MS","POT","CDQ","BSAI",NA,0.571428571428571,NA,NA,NA,NA,179,7,7,7,2,4,"FULLCP/MSPOTCDQBSAI"
"11",2020,"FULL","CP/MS","POT","IFQ","BSAI",NA,NA,NA,NA,NA,NA,26,2,2,2,0,0,"FULLCP/MSPOTIFQBSAI"
"12",2020,"FULL","CP/MS","POT","IFQ","GOA",NA,NA,NA,NA,NA,NA,49,1,1,1,0,0,"FULLCP/MSPOTIFQGOA"
"13",2020,"FULL","CP/MS","POT","OA","BSAI",3.16666666666667,0.0833333333333333,NA,NA,NA,NA,156,12,12,12,2,39,"FULLCP/MSPOTOABSAI"
"14",2020,"FULL","CP/MS","PTR","A80","BSAI",NA,0.0142857142857143,NA,NA,NA,0.0361663652802893,28,5,5,5,0.180831826401447,0.252260397830018,"FULLCP/MSPTRA80BSAI"
