CITATION,OLE_CATEGORY,OLD_AFFIDAVIT_TYPE,TITLE
679.52(b)(1)(iii),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(10),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(11)(x)(A)(1),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(11)(x)(A)(2),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(11)(x)(A)(3),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(11)(x)(A)(4),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(11)(x)(A)(5),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(2)(i),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(2)(ii),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(2)(iii),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(2)(iv),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(4)(ii),,,50 CFR
679.52(b)(5),,,50 CFR
679.52(b)(6),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(7)(i)(A),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(7)(i)(B),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(7)(ii),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(7)(iii)(B),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(7)(iii)(C),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(7)(iv),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(7)(v),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(8)(i),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(8)(ii),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(8)(iii),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(8)(iv),4. All Other Statement Types,Contractor,50 CFR
679.52(b)(9),4. All Other Statement Types,Contractor,50 CFR
679.52(c)(3),4. All Other Statement Types,Contractor,50 CFR
679.7(j)(1),NONE,NONE,50 CFR
679.7(j)(10),NONE,NONE,50 CFR
679.7(j)(11),NONE,NONE,50 CFR
679.7(j)(12),NONE,NONE,50 CFR
679.7(j)(2),NONE,NONE,50 CFR
679.7(j)(3),NONE,NONE,50 CFR
679.7(j)(4),NONE,NONE,50 CFR
679.7(j)(5),NONE,NONE,50 CFR
679.7(j)(6),NONE,NONE,50 CFR
679.7(j)(7),NONE,NONE,50 CFR
679.7(j)(8),NONE,NONE,50 CFR
679.7(j)(9),NONE,NONE,50 CFR
679.100(b)(1)(iii),2. Limited Access Program Specific,Catcher Processor Longline,50 CFR
679.100(b)(2)(i)(C),2. Limited Access Program Specific,Catcher Processor Longline,50 CFR
679.100(b)(2)(i)(D),2. Limited Access Program Specific,Catcher Processor Longline,50 CFR
679.100(b)(2)(ii),2. Limited Access Program Specific,Catcher Processor Longline,50 CFR
679.100(b)(2)(iii)(A),2. Limited Access Program Specific,Catcher Processor Longline,50 CFR
679.100(b)(2)(iii)(B),2. Limited Access Program Specific,Catcher Processor Longline,50 CFR
679.100(b)(2)(iii)(C),2. Limited Access Program Specific,Catcher Processor Longline,50 CFR
679.24(a)(1),4. All Other Statement Types,Miscellaneous,50 CFR
679.24(b)(4),4. All Other Statement Types,Miscellaneous,50 CFR
679.28(b)(2)(vii)(C),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(b)(3),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(b)(3)(i)(A),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(b)(3)(i)(B)(ISSUE 1),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(b)(3)(i)(B)(ISSUE 2),,,50 CFR
679.28(b)(3)(i)(B)(ISSUE 3),,,50 CFR
679.28(b)(3)(ii)(A),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(b)(4),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(b)(3)(ii)(B)(1),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(c)(1),4. All Other Statement Types,Miscellaneous,50 CFR
679.28(c)(2),4. All Other Statement Types,Miscellaneous,50 CFR
679.28(c)(4)(ii)(E),,,50 CFR
679.28(c)(4)(v),,,50 CFR
679.28(d)(1),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(d)(2)(i),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(d)(2)(ii),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(d)(2)(iii),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(d)(3),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(d)(4),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(d)(5),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(d)(6),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(d)(8)(i),4. All Other Statement Types,Reasonable Assistance,50 CFR
679.28(d)(8)(ii)(A),4. All Other Statement Types,Reasonable Assistance,50 CFR
679.28(d)(8)(ii)(B),4. All Other Statement Types,Reasonable Assistance,50 CFR
679.28(d)(10),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(e)(1)(i),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(e)(1)(ii),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(e)(1)(v),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(e)(1)(vii),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(e)(1)(viii),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(e)(1)(viii)(A),2. Limited Access Program Specific,"AFA, Amendment 80, or Rockfish Program",50 CFR
679.28(e)(1)(viii)(B),2. Limited Access Program Specific,"AFA, Amendment 80, or Rockfish Program",50 CFR
679.28(e)(1)(viii)(C),2. Limited Access Program Specific,"AFA, Amendment 80, or Rockfish Program",50 CFR
679.28(f)(6)(i),4. All Other Statement Types,Miscellaneous,50 CFR
679.28(f)(6)(ii),4. All Other Statement Types,Miscellaneous,50 CFR
679.28(f)(6)(iii),4. All Other Statement Types,Miscellaneous,50 CFR
679.28(f)(6)(iv),4. All Other Statement Types,Miscellaneous,50 CFR
679.28(f)(6)(v),4. All Other Statement Types,Miscellaneous,50 CFR
679.28(i)(1)(i),2. Limited Access Program Specific,Amendment 80,50 CFR
679.28(i)(1)(iii),2. Limited Access Program Specific,Amendment 80,50 CFR
679.28(i)(1)(iv),2. Limited Access Program Specific,Amendment 80,50 CFR
679.28(i)(2),2. Limited Access Program Specific,Amendment 80,50 CFR
679.28(j),2. Limited Access Program Specific,AFA or Amendment 91,50 CFR
679.28(j)(1),2. Limited Access Program Specific,AFA or Amendment 91,50 CFR
679.28(j)(2),2. Limited Access Program Specific,AFA or Amendment 91,50 CFR
679.28(k),2. Limited Access Program Specific,Catcher Processor Longline,50 CFR
679.28(k)(1),2. Limited Access Program Specific,Catcher Processor Longline,50 CFR
679.28(k)(2),2. Limited Access Program Specific,Catcher Processor Longline,50 CFR
679.32(c)(3)(i)(E)(3),4. All Other Statement Types,Miscellaneous,50 CFR
679.42(b)(1)(i),4. All Other Statement Types,Miscellaneous,50 CFR
679.42(b)(1)(ii),4. All Other Statement Types,Miscellaneous,50 CFR
679.42(k)(1)(i),4. All Other Statement Types,Miscellaneous,50 CFR
