"","STATEMENT_TYPE","OLD_OLE_CATEGORY","NEW_OLE_CATEGORY","FIRST_VIOL_YEAR","FREQ"
"1","ADMINISTRATIVE RESPONSIBILITIES","ALL OTHER STATEMENT TYPES","CONTRACTOR REQUIREMENTS",2023,1
"2","AFA","LIMITED ACCESS PROGRAMS",NA,2022,10
"3","AFA","LIMITED ACCESS PROGRAMS",NA,2023,12
"4","ASSAULT","OLE PRIORITY: INTER-PERSONAL","OBSERVER SAFETY AND WORK ENVIRONMENT",2023,1
"5","Amendment 80","LIMITED ACCESS PROGRAMS",NA,2022,39
"6","Amendment 80","LIMITED ACCESS PROGRAMS",NA,2023,14
"7","Amendment 91 salmon","PROTECTED RESOURCE & PROHIBITED SPECIES",NA,2022,13
"8","Amendment 91 salmon","PROTECTED RESOURCE & PROHIBITED SPECIES",NA,2023,6
"9","BELT AND FLOW OPERATIONS","LIMITED ACCESS PROGRAMS","OPERATIONAL REQUIREMENTS",2023,1
"10","BIN MONITORING","LIMITED ACCESS PROGRAMS","GEAR/EQUIPMENT REQUIREMENTS",2023,3
"11","BSAI SALMON BYCATCH","PROTECTED RESOURCE & PROHIBITED SPECIES","PROHIBITED SPECIES/MARINE MAMMALS/SEABIRDS",2023,6
"12","CMCP","LIMITED ACCESS PROGRAMS","OPERATIONAL REQUIREMENTS",2023,1
"13","Catcher Processor Longline","LIMITED ACCESS PROGRAMS",NA,2022,9
"14","Catcher Processor Longline","LIMITED ACCESS PROGRAMS",NA,2023,2
"15","Contractor Problems","ALL OTHER STATEMENT TYPES",NA,2022,12
"16","Contractor Problems","ALL OTHER STATEMENT TYPES",NA,2023,2
"17","DEPLOYMENT LOGISTICS","ALL OTHER STATEMENT TYPES","CONTRACTOR REQUIREMENTS",2023,7
"18","DESTRUCTION OF SAMPLE/WORK/PERSONAL EFFECTS","OLE PRIORITY: SAFETY AND DUTIES","INTERFERENCE WITH DUTIES",2023,3
"19","DISCHARGE OF GARBAGE OR PLASTIC, OR LOSS OF FISHING GEAR","COAST GUARD","MARPOL/OIL SPILL",2023,19
"20","DISCHARGE OF OIL","COAST GUARD","MARPOL/OIL SPILL",2023,5
