"","NUMBER_VIOLATIONS","OLE_SYSTEM","FIRST_VIOL_YEAR","FREQ","TOTAL","PROPORT_STATEMENTS"
"1",1,"NEW",2023,15,36,0.416666666666667
"2",1,"OLD",2022,63,95,0.663157894736842
"3",1,"OLD",2023,24,37,0.648648648648649
"4",2,"NEW",2023,3,36,0.0833333333333333
"5",2,"OLD",2022,6,95,0.0631578947368421
"6",2,"OLD",2023,2,37,0.0540540540540541
"7",3,"NEW",2023,2,36,0.0555555555555556
"8",3,"OLD",2022,4,95,0.0421052631578947
"9",3,"OLD",2023,4,37,0.108108108108108
"10",4,"NEW",2023,4,36,0.111111111111111
"11",4,"OLD",2022,7,95,0.0736842105263158
"12",5,"NEW",2023,1,36,0.0277777777777778
"13",5,"OLD",2022,4,95,0.0421052631578947
"14",5,"OLD",2023,3,37,0.0810810810810811
"15",6,"OLD",2022,1,95,0.0105263157894737
"16",7,"NEW",2023,1,36,0.0277777777777778
"17",7,"OLD",2022,1,95,0.0105263157894737
"18",8,"NEW",2023,2,36,0.0555555555555556
"19",8,"OLD",2022,1,95,0.0105263157894737
"20",10,"NEW",2023,1,36,0.0277777777777778
"21",10,"OLD",2022,1,95,0.0105263157894737
"22",10,"OLD",2023,2,37,0.0540540540540541
"23",11,"OLD",2022,1,95,0.0105263157894737
"24",13,"NEW",2023,1,36,0.0277777777777778
"25",14,"NEW",2023,2,36,0.0555555555555556
"26",15,"OLD",2022,3,95,0.0315789473684211
"27",17,"NEW",2023,1,36,0.0277777777777778
"28",18,"NEW",2023,1,36,0.0277777777777778
"29",27,"NEW",2023,1,36,0.0277777777777778
"30",30,"OLD",2022,1,95,0.0105263157894737
"31",30,"OLD",2023,1,37,0.027027027027027
"32",49,"NEW",2023,1,36,0.0277777777777778
"33",60,"OLD",2022,1,95,0.0105263157894737
"34",70,"OLD",2023,1,37,0.027027027027027
"35",100,"OLD",2022,1,95,0.0105263157894737
