"","NUMBER_VIOLATIONS","OLE_SYSTEM","FIRST_VIOL_YEAR","FREQ","TOTAL","PROPORT_STATEMENTS"
"1",1,"NEW",2023,170,407,0.417690417690418
"2",1,"OLD",2022,565,941,0.600425079702444
"3",1,"OLD",2023,271,447,0.606263982102908
"4",2,"NEW",2023,56,407,0.137592137592138
"5",2,"OLD",2022,134,941,0.14240170031881
"6",2,"OLD",2023,65,447,0.145413870246085
"7",3,"NEW",2023,29,407,0.0712530712530713
"8",3,"OLD",2022,65,941,0.0690754516471838
"9",3,"OLD",2023,35,447,0.0782997762863535
"10",4,"NEW",2023,14,407,0.0343980343980344
"11",4,"OLD",2022,35,941,0.0371944739638682
"12",4,"OLD",2023,12,447,0.0268456375838926
"13",5,"NEW",2023,10,407,0.0245700245700246
"14",5,"OLD",2022,23,941,0.024442082890542
"15",5,"OLD",2023,12,447,0.0268456375838926
"16",6,"NEW",2023,11,407,0.027027027027027
"17",6,"OLD",2022,10,941,0.0106269925611052
"18",6,"OLD",2023,6,447,0.0134228187919463
"19",7,"NEW",2023,6,407,0.0147420147420147
"20",7,"OLD",2022,5,941,0.0053134962805526
"21",8,"NEW",2023,7,407,0.0171990171990172
"22",8,"OLD",2022,8,941,0.00850159404888417
"23",8,"OLD",2023,2,447,0.00447427293064877
"24",9,"NEW",2023,7,407,0.0171990171990172
"25",9,"OLD",2022,1,941,0.00106269925611052
"26",9,"OLD",2023,3,447,0.00671140939597315
"27",10,"NEW",2023,4,407,0.00982800982800983
"28",10,"OLD",2022,12,941,0.0127523910733262
"29",10,"OLD",2023,8,447,0.0178970917225951
"30",11,"NEW",2023,4,407,0.00982800982800983
"31",11,"OLD",2022,6,941,0.00637619553666312
"32",11,"OLD",2023,6,447,0.0134228187919463
"33",12,"NEW",2023,2,407,0.00491400491400491
"34",12,"OLD",2022,6,941,0.00637619553666312
"35",12,"OLD",2023,3,447,0.00671140939597315
"36",13,"NEW",2023,2,407,0.00491400491400491
"37",13,"OLD",2022,6,941,0.00637619553666312
"38",13,"OLD",2023,1,447,0.00223713646532438
"39",14,"NEW",2023,4,407,0.00982800982800983
"40",14,"OLD",2022,4,941,0.00425079702444208
"41",14,"OLD",2023,2,447,0.00447427293064877
"42",15,"NEW",2023,5,407,0.0122850122850123
"43",15,"OLD",2022,7,941,0.00743889479277365
"44",15,"OLD",2023,3,447,0.00671140939597315
"45",16,"OLD",2022,5,941,0.0053134962805526
"46",17,"NEW",2023,4,407,0.00982800982800983
"47",18,"NEW",2023,2,407,0.00491400491400491
"48",18,"OLD",2022,1,941,0.00106269925611052
"49",20,"NEW",2023,2,407,0.00491400491400491
"50",20,"OLD",2022,5,941,0.0053134962805526
"51",20,"OLD",2023,3,447,0.00671140939597315
"52",21,"NEW",2023,1,407,0.00245700245700246
"53",22,"OLD",2022,2,941,0.00212539851222104
"54",23,"NEW",2023,2,407,0.00491400491400491
"55",24,"NEW",2023,1,407,0.00245700245700246
"56",24,"OLD",2022,1,941,0.00106269925611052
"57",25,"OLD",2022,2,941,0.00212539851222104
"58",25,"OLD",2023,1,447,0.00223713646532438
"59",26,"NEW",2023,1,407,0.00245700245700246
"60",27,"NEW",2023,2,407,0.00491400491400491
"61",28,"NEW",2023,2,407,0.00491400491400491
"62",28,"OLD",2023,1,447,0.00223713646532438
"63",29,"NEW",2023,3,407,0.00737100737100737
"64",30,"NEW",2023,1,407,0.00245700245700246
"65",30,"OLD",2022,8,941,0.00850159404888417
"66",30,"OLD",2023,3,447,0.00671140939597315
"67",31,"NEW",2023,3,407,0.00737100737100737
"68",32,"NEW",2023,6,407,0.0147420147420147
"69",32,"OLD",2022,2,941,0.00212539851222104
"70",35,"OLD",2022,1,941,0.00106269925611052
"71",35,"OLD",2023,1,447,0.00223713646532438
"72",38,"OLD",2022,1,941,0.00106269925611052
"73",39,"OLD",2022,1,941,0.00106269925611052
"74",40,"NEW",2023,1,407,0.00245700245700246
"75",40,"OLD",2022,2,941,0.00212539851222104
"76",41,"NEW",2023,1,407,0.00245700245700246
"77",43,"NEW",2023,1,407,0.00245700245700246
"78",45,"OLD",2022,1,941,0.00106269925611052
"79",46,"OLD",2022,1,941,0.00106269925611052
"80",47,"NEW",2023,1,407,0.00245700245700246
"81",49,"NEW",2023,1,407,0.00245700245700246
"82",50,"OLD",2022,5,941,0.0053134962805526
"83",50,"OLD",2023,1,447,0.00223713646532438
"84",52,"NEW",2023,1,407,0.00245700245700246
"85",53,"NEW",2023,3,407,0.00737100737100737
"86",54,"NEW",2023,2,407,0.00491400491400491
"87",54,"OLD",2023,1,447,0.00223713646532438
"88",55,"NEW",2023,1,407,0.00245700245700246
"89",56,"OLD",2022,1,941,0.00106269925611052
"90",58,"OLD",2022,1,941,0.00106269925611052
"91",59,"NEW",2023,1,407,0.00245700245700246
"92",60,"OLD",2022,1,941,0.00106269925611052
"93",60,"OLD",2023,2,447,0.00447427293064877
"94",61,"NEW",2023,2,407,0.00491400491400491
"95",62,"OLD",2022,1,941,0.00106269925611052
"96",65,"NEW",2023,2,407,0.00491400491400491
"97",65,"OLD",2022,1,941,0.00106269925611052
"98",68,"NEW",2023,1,407,0.00245700245700246
"99",68,"OLD",2022,1,941,0.00106269925611052
"100",69,"NEW",2023,1,407,0.00245700245700246
"101",70,"NEW",2023,1,407,0.00245700245700246
"102",70,"OLD",2023,1,447,0.00223713646532438
"103",77,"NEW",2023,1,407,0.00245700245700246
"104",80,"NEW",2023,1,407,0.00245700245700246
"105",83,"NEW",2023,1,407,0.00245700245700246
"106",84,"NEW",2023,1,407,0.00245700245700246
"107",85,"NEW",2023,2,407,0.00491400491400491
"108",86,"NEW",2023,2,407,0.00491400491400491
"109",88,"NEW",2023,1,407,0.00245700245700246
"110",89,"NEW",2023,1,407,0.00245700245700246
"111",89,"OLD",2022,1,941,0.00106269925611052
"112",91,"NEW",2023,1,407,0.00245700245700246
"113",95,"NEW",2023,1,407,0.00245700245700246
"114",96,"NEW",2023,1,407,0.00245700245700246
"115",96,"OLD",2022,1,941,0.00106269925611052
"116",100,"NEW",2023,2,407,0.00491400491400491
"117",100,"OLD",2022,2,941,0.00212539851222104
"118",100,"OLD",2023,1,447,0.00223713646532438
"119",103,"NEW",2023,1,407,0.00245700245700246
"120",103,"OLD",2022,1,941,0.00106269925611052
"121",111,"OLD",2023,1,447,0.00223713646532438
"122",116,"OLD",2022,1,941,0.00106269925611052
"123",122,"NEW",2023,1,407,0.00245700245700246
"124",125,"OLD",2022,1,941,0.00106269925611052
"125",143,"NEW",2023,1,407,0.00245700245700246
"126",150,"OLD",2022,1,941,0.00106269925611052
"127",150,"OLD",2023,1,447,0.00223713646532438
