"","CALENDAR_YEAR","CATEGORY","SUBCATEGORY","N_STATEMENTS","INCIDENT_UNIT","DISTINCT_REGS_SELECTED","N_REG_SELECTIONS","N_UNITS_REPORTED","TOTAL_UNITS","RATE","RATE_X_1000","OBSERVERS","UNITS_PER_OBSERVER","CRUISES","UNITS_PER_CRUISE","ASSIGNMENTS","UNITS_PER_ASSIGNMENT","DAYS","UNITS_PER_DAY","UNITS_PER_1000_DAYS"
"1",2023,"INTERFERENCE WITH DUTIES","DESTRUCTION OF SAMPLE/WORK/PERSONAL EFFECTS",3,"DAYS",1,3,3,32767,9.15555284279916e-05,0.0915555284279916,329,0.00911854103343465,543,0.00552486187845304,1157,0.00259291270527226,32767,9.15555284279916e-05,0.0915555284279916
"2",2023,"INTERFERENCE WITH DUTIES","REASONABLE ASSISTANCE",3,"DAYS",1,3,8,32767,0.000244148075807978,0.244148075807978,329,0.0243161094224924,543,0.0147329650092081,1157,0.00691443388072602,32767,0.000244148075807978,0.244148075807978
"3",2023,"INTERFERENCE WITH DUTIES","REASONABLE ASSISTANCE",1,"OFFL",1,1,8,5053,0.00158321789036216,1.58321789036216,329,0.0243161094224924,543,0.0147329650092081,1157,0.00691443388072602,32767,0.000244148075807978,0.244148075807978
"4",2023,"INTERFERENCE WITH DUTIES","REASONABLE ASSISTANCE",2,"SAMP",1,2,12,115841,0.000103590265968008,0.103590265968008,329,0.0364741641337386,543,0.0220994475138122,1157,0.010371650821089,32767,0.000366222113711966,0.366222113711966
"5",2023,"INTERFERENCE WITH DUTIES","SAMPLING INTERFERENCE",6,"SAMP",1,6,39,115841,0.000336668364396026,0.336668364396026,329,0.11854103343465,543,0.0718232044198895,1157,0.0337078651685393,32767,0.00119022186956389,1.19022186956389
"6",2023,"OBSERVER SAFETY AND WORK ENVIRONMENT","ASSAULT",2,"DAYS",1,2,9,32767,0.000274666585283975,0.274666585283975,329,0.027355623100304,543,0.0165745856353591,1157,0.00777873811581677,32767,0.000274666585283975,0.274666585283975
"7",2023,"OBSERVER SAFETY AND WORK ENVIRONMENT","HOSTILE WORK ENVIRONMENT",11,"DAYS",1,11,86,32767,0.00262459181493576,2.62459181493576,329,0.261398176291793,543,0.158379373848987,1157,0.0743301642178047,32767,0.00262459181493576,2.62459181493576
"8",2023,"OBSERVER SAFETY AND WORK ENVIRONMENT","IMPEDIMENT",3,"DAYS",1,3,12,32767,0.000366222113711966,0.366222113711966,329,0.0364741641337386,543,0.0220994475138122,1157,0.010371650821089,32767,0.000366222113711966,0.366222113711966
"9",2023,"OBSERVER SAFETY AND WORK ENVIRONMENT","INTIMIDATION/BRIBERY/COERCION",8,"DAYS",1,8,59,32767,0.00180059205908383,1.80059205908383,329,0.179331306990881,543,0.10865561694291,1157,0.0509939498703544,32767,0.00180059205908383,1.80059205908383
"10",2023,"OBSERVER SAFETY AND WORK ENVIRONMENT","SAFETY",26,"DAYS",2,26,382,32767,0.0116580706198309,11.6580706198309,329,1.16109422492401,543,0.703499079189687,1157,0.330164217804667,32767,0.0116580706198309,11.6580706198309
"11",2023,"OBSERVER SAFETY AND WORK ENVIRONMENT","SEXUAL HARASSMENT",11,"DAYS",1,11,66,32767,0.00201422162541581,2.01422162541581,329,0.200607902735562,543,0.121546961325967,1157,0.0570440795159896,32767,0.00201422162541581,2.01422162541581
